,ctg4_53|[5515:8599](+)|window_120--NPDC004732.gbff,ctg4_54|[8626:8986](+)|window_120--NPDC004732.gbff,ctg4_55|[9019:9418](+)|window_120--NPDC004732.gbff,ctg4_56|[9508:9976](-)|window_120--NPDC004732.gbff,ctg4_57|[10105:12076](-)|window_120--NPDC004732.gbff,ctg4_58|[12724:13339](+)|window_120--NPDC004732.gbff,ctg4_59|[13429:13774](-)|window_120--NPDC004732.gbff,ctg4_60|[14105:14501](+)|window_120--NPDC004732.gbff,ctg4_61|[15049:16069](+)|window_120--NPDC004732.gbff,ctg4_62|[16193:16847](-)|window_120--NPDC004732.gbff,ctg4_63|[16860:18375](-)|window_120--NPDC004732.gbff,ctg4_64|[18550:19801](+)|window_120--NPDC004732.gbff,ctg4_65|[19801:20479](+)|window_120--NPDC004732.gbff,ctg4_66|[20805:22167](+)|window_120--NPDC004732.gbff,ctg4_67|[22505:22814](+)|window_120--NPDC004732.gbff,ctg4_68|[22833:23463](+)|window_120--NPDC004732.gbff,ctg4_69|[23592:24969](+)|window_120--NPDC004732.gbff,ctg4_70|[25041:25686](+)|window_120--NPDC004732.gbff,ctg4_71|[25702:26710](+)|window_120--NPDC004732.gbff,ctg4_72|[26742:27918](+)|window_120--NPDC004732.gbff,ctg4_73|[27995:28970](-)|window_120--NPDC004732.gbff,ctg4_74|[28966:29917](-)|window_120--NPDC004732.gbff,ctg4_75|[30000:31548](-)|window_120--NPDC004732.gbff,ctg4_76|[31551:33267](-)|window_120--NPDC004732.gbff,ctg4_77|[33730:35860](+)|window_120--NPDC004732.gbff,ctg4_78|[36101:37187](+)|window_120--NPDC004732.gbff,ctg4_79|[37208:37784](+)|window_120--NPDC004732.gbff,ctg4_80|[37738:40594](-)|window_120--NPDC004732.gbff,ctg4_81|[40901:41696](+)|window_120--NPDC004732.gbff,ctg4_82|[41836:42397](-)|window_120--NPDC004732.gbff,ctg4_83|[43135:43510](+)|window_120--NPDC004732.gbff,ctg4_84|[43698:44064](+)|window_120--NPDC004732.gbff,ctg4_85|[44406:46008](+)|window_120--NPDC004732.gbff,ctg4_86|[46088:46427](-)|window_120--NPDC004732.gbff,ctg4_87|[46494:47634](-)|window_120--NPDC004732.gbff,ctg4_88|[47766:48777](+)|window_120--NPDC004732.gbff,ctg4_89|[48784:49915](+)|window_120--NPDC004732.gbff,ctg4_90|[50041:50734](+)|window_120--NPDC004732.gbff,ctg4_91|[51031:51415](+)|window_120--NPDC004732.gbff,ctg4_92|[51422:52394](-)|window_120--NPDC004732.gbff,ctg4_93|[52521:53508](+)|window_120--NPDC004732.gbff,ctg4_94|[54026:55565](+)|window_120--NPDC004732.gbff,ctg4_95|[55623:56121](+)|window_120--NPDC004732.gbff,ctg4_96|[56148:57963](-)|window_120--NPDC004732.gbff,ctg4_97|[57955:63217](-)|window_120--NPDC004732.gbff
window_120--NPDC004732.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_571--GCA_008042075.1.gbff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
