Gene Names,ACH3Y9_05090|[515:3530](-)|window_495--GCA_044326755.1,ACH3Y9_05095|[3845:4424](-)|window_495--GCA_044326755.1,ACH3Y9_05100|[4659:7827](+)|window_495--GCA_044326755.1,ACH3Y9_05105|[7816:10252](+)|window_495--GCA_044326755.1,ACH3Y9_05110|[10367:11300](+)|window_495--GCA_044326755.1,ACH3Y9_05120|[11759:12590](+)|window_495--GCA_044326755.1,ACH3Y9_05125|[13063:13846](+)|window_495--GCA_044326755.1,ACH3Y9_05130|[13944:14589](+)|window_495--GCA_044326755.1,ACH3Y9_05135|[14596:17293](+)|window_495--GCA_044326755.1,ACH3Y9_05140|[17289:18261](+)|window_495--GCA_044326755.1,ACH3Y9_05145|[18257:19274](+)|window_495--GCA_044326755.1,ACH3Y9_05150|[19288:19813](+)|window_495--GCA_044326755.1,ACH3Y9_05155|[20083:21469](+)|window_495--GCA_044326755.1,ACH3Y9_05160|[22220:23150](+)|window_495--GCA_044326755.1,ACH3Y9_05165|[23314:24583](+)|window_495--GCA_044326755.1,ACH3Y9_05170|[24620:25838](+)|window_495--GCA_044326755.1,ACH3Y9_05175|[25939:26584](+)|window_495--GCA_044326755.1,ACH3Y9_05180|[26660:27845](-)|window_495--GCA_044326755.1,ACH3Y9_05185|[27984:28959](-)|window_495--GCA_044326755.1,ACH3Y9_05190|[28955:29852](-)|window_495--GCA_044326755.1,ACH3Y9_05195|[30000:31527](-)|window_495--GCA_044326755.1,ACH3Y9_05200|[31526:33242](-)|window_495--GCA_044326755.1,ACH3Y9_05205|[33608:34811](+)|window_495--GCA_044326755.1,ACH3Y9_05210|[34914:35937](-)|window_495--GCA_044326755.1,ACH3Y9_05215|[35917:37264](-)|window_495--GCA_044326755.1,ACH3Y9_05220|[37502:39815](-)|window_495--GCA_044326755.1,ACH3Y9_05230|[41690:42326](-)|window_495--GCA_044326755.1,ACH3Y9_05235|[42373:42616](-)|window_495--GCA_044326755.1,ACH3Y9_05240|[42602:42863](+)|window_495--GCA_044326755.1,ACH3Y9_05245|[43123:43705](+)|window_495--GCA_044326755.1,ACH3Y9_05250|[44268:45411](-)|window_495--GCA_044326755.1,ACH3Y9_05255|[45748:46198](+)|window_495--GCA_044326755.1,ACH3Y9_05260|[46355:46751](-)|window_495--GCA_044326755.1,ACH3Y9_05265|[46795:48061](-)|window_495--GCA_044326755.1,ACH3Y9_05270|[48057:48861](-)|window_495--GCA_044326755.1,ACH3Y9_05275|[48863:50198](-)|window_495--GCA_044326755.1,ACH3Y9_05280|[50181:50916](-)|window_495--GCA_044326755.1,ACH3Y9_05285|[51028:51793](+)|window_495--GCA_044326755.1,ACH3Y9_05290|[51782:53657](+)|window_495--GCA_044326755.1,ACH3Y9_05295|[53758:54145](-)|window_495--GCA_044326755.1,ACH3Y9_05305|[55429:56575](-)|window_495--GCA_044326755.1,ACH3Y9_05310|[56725:56911](-)|window_495--GCA_044326755.1,ACH3Y9_05315|[57052:60085](-)|window_495--GCA_044326755.1,ACH3Y9_05320|[60720:60981](-)|window_495--GCA_044326755.1,ACH3Y9_05325|[61876:63118](+)|window_495--GCA_044326755.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_126--GCA_014649235.1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_128--NPDC015242,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_320--NPDC004259,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_324--NPDC006537,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_330--NPDC006439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
