Gene Names,GCM10009544_45470|[144:963](-)|window_343--GCA_039524935.1,GCM10009544_45480|[1077:2373](-)|window_343--GCA_039524935.1,GCM10009544_45490|[2633:3023](-)|window_343--GCA_039524935.1,GCM10009544_45500|[3150:4197](-)|window_343--GCA_039524935.1,GCM10009544_45510|[4296:5343](+)|window_343--GCA_039524935.1,GCM10009544_45520|[5356:6016](-)|window_343--GCA_039524935.1,GCM10009544_45530|[6145:6598](-)|window_343--GCA_039524935.1,GCM10009544_45540|[6645:8103](+)|window_343--GCA_039524935.1,GCM10009544_45550|[8106:8481](-)|window_343--GCA_039524935.1,GCM10009544_45560|[8584:8977](-)|window_343--GCA_039524935.1,GCM10009544_45570|[9071:9905](-)|window_343--GCA_039524935.1,GCM10009544_45580|[9901:10285](-)|window_343--GCA_039524935.1,GCM10009544_45590|[10823:12041](+)|window_343--GCA_039524935.1,GCM10009544_45600|[12186:12930](+)|window_343--GCA_039524935.1,GCM10009544_45610|[12875:13217](-)|window_343--GCA_039524935.1,GCM10009544_45620|[13463:14027](-)|window_343--GCA_039524935.1,GCM10009544_45630|[14621:14780](+)|window_343--GCA_039524935.1,GCM10009544_45640|[15008:15203](+)|window_343--GCA_039524935.1,GCM10009544_45650|[15232:16633](-)|window_343--GCA_039524935.1,GCM10009544_45660|[17130:19059](+)|window_343--GCA_039524935.1,GCM10009544_45670|[19103:19475](-)|window_343--GCA_039524935.1,GCM10009544_45680|[19726:21442](+)|window_343--GCA_039524935.1,GCM10009544_45690|[21444:22980](+)|window_343--GCA_039524935.1,GCM10009544_45700|[23011:23962](+)|window_343--GCA_039524935.1,GCM10009544_45710|[23958:24933](+)|window_343--GCA_039524935.1,GCM10009544_45720|[25084:26227](+)|window_343--GCA_039524935.1,GCM10009544_45730|[26248:27388](-)|window_343--GCA_039524935.1,GCM10009544_45740|[27426:28431](-)|window_343--GCA_039524935.1,GCM10009544_45750|[28492:29137](-)|window_343--GCA_039524935.1,GCM10009544_45760|[29164:30541](-)|window_343--GCA_039524935.1,GCM10009544_45770|[30753:32817](-)|window_343--GCA_039524935.1,GCM10009544_45780|[33162:33687](+)|window_343--GCA_039524935.1,GCM10009544_45790|[33859:34399](-)|window_343--GCA_039524935.1,GCM10009544_45800|[34782:36012](-)|window_343--GCA_039524935.1,GCM10009544_45810|[36191:37583](+)|window_343--GCA_039524935.1,GCM10009544_45820|[37595:38633](-)|window_343--GCA_039524935.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
window_267--NPDC046215,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
