Gene Names,ctg7_222|[1135:1264](-)|window_237--NPDC001922,ctg7_223|[1556:2921](+)|window_237--NPDC001922,ctg7_224|[3311:3479](+)|window_237--NPDC001922,ctg7_225|[3869:4181](-)|window_237--NPDC001922,ctg7_226|[4426:5890](-)|window_237--NPDC001922,ctg7_227|[7751:10358](+)|window_237--NPDC001922,ctg7_228|[10612:11341](+)|window_237--NPDC001922,ctg7_229|[11348:12521](-)|window_237--NPDC001922,ctg7_230|[12690:13938](+)|window_237--NPDC001922,ctg7_231|[14359:15484](-)|window_237--NPDC001922,ctg7_232|[15857:18596](+)|window_237--NPDC001922,ctg7_233|[19057:21202](+)|window_237--NPDC001922,ctg7_234|[21344:22718](+)|window_237--NPDC001922,ctg7_235|[22838:23483](+)|window_237--NPDC001922,ctg7_236|[23529:24534](+)|window_237--NPDC001922,ctg7_237|[24568:25708](+)|window_237--NPDC001922,ctg7_238|[25732:26746](+)|window_237--NPDC001922,ctg7_239|[26723:27905](-)|window_237--NPDC001922,ctg7_240|[28007:28982](-)|window_237--NPDC001922,ctg7_241|[28978:29929](-)|window_237--NPDC001922,ctg7_242|[30000:31527](-)|window_237--NPDC001922,ctg7_243|[31529:33245](-)|window_237--NPDC001922,ctg7_244|[33828:34833](-)|window_237--NPDC001922,ctg7_245|[35037:36024](+)|window_237--NPDC001922,ctg7_246|[36038:36998](+)|window_237--NPDC001922,ctg7_247|[37504:38347](+)|window_237--NPDC001922,ctg7_248|[38700:39192](+)|window_237--NPDC001922,ctg7_249|[39191:39467](+)|window_237--NPDC001922,ctg7_250|[39699:40857](+)|window_237--NPDC001922,ctg7_251|[40877:41252](+)|window_237--NPDC001922,ctg7_252|[41738:42083](+)|window_237--NPDC001922,ctg7_253|[43035:43536](-)|window_237--NPDC001922,ctg7_254|[43651:44386](-)|window_237--NPDC001922,ctg7_255|[44505:45144](+)|window_237--NPDC001922,ctg7_256|[45236:46382](+)|window_237--NPDC001922,ctg7_257|[46460:47336](-)|window_237--NPDC001922,ctg7_258|[47453:48167](-)|window_237--NPDC001922,ctg7_259|[48686:49964](+)|window_237--NPDC001922,ctg7_260|[50121:50970](+)|window_237--NPDC001922,ctg7_261|[51051:52077](-)|window_237--NPDC001922,ctg7_262|[52158:52611](+)|window_237--NPDC001922,ctg7_263|[52700:53357](+)|window_237--NPDC001922,ctg7_264|[53446:53986](+)|window_237--NPDC001922,ctg7_265|[54390:55284](+)|window_237--NPDC001922,ctg7_266|[55384:56134](+)|window_237--NPDC001922,ctg7_267|[56171:57038](-)|window_237--NPDC001922,ctg7_268|[57131:57704](+)|window_237--NPDC001922,ctg7_269|[57757:58312](+)|window_237--NPDC001922,ctg7_270|[58336:58744](-)|window_237--NPDC001922,ctg7_271|[58803:59430](+)|window_237--NPDC001922,ctg7_272|[59492:60671](+)|window_237--NPDC001922
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
