Gene Names,ctg15_10|[14875:16054](+)|window_496--NPDC018347,ctg15_11|[16146:16680](-)|window_496--NPDC018347,ctg15_12|[16744:17941](-)|window_496--NPDC018347,ctg15_13|[18195:19452](+)|window_496--NPDC018347,ctg15_14|[19528:20851](-)|window_496--NPDC018347,ctg15_15|[20891:22262](-)|window_496--NPDC018347,ctg15_16|[22441:24721](-)|window_496--NPDC018347,ctg15_17|[24963:25251](-)|window_496--NPDC018347,ctg15_18|[25497:26130](-)|window_496--NPDC018347,ctg15_19|[26297:26786](-)|window_496--NPDC018347,ctg15_1|[0:3507](+)|window_496--NPDC018347,ctg15_20|[27614:28532](+)|window_496--NPDC018347,ctg15_21|[28498:28759](+)|window_496--NPDC018347,ctg15_22|[28773:30000](-)|window_496--NPDC018347,ctg15_23|[30158:31094](+)|window_496--NPDC018347,ctg15_24|[31137:32076](-)|window_496--NPDC018347,ctg15_25|[32472:32934](-)|window_496--NPDC018347,ctg15_26|[33051:34002](-)|window_496--NPDC018347,ctg15_27|[34113:34422](-)|window_496--NPDC018347,ctg15_28|[34982:37109](+)|window_496--NPDC018347,ctg15_29|[37124:38168](-)|window_496--NPDC018347,ctg15_2|[3503:5756](+)|window_496--NPDC018347,ctg15_30|[38636:39728](+)|window_496--NPDC018347,ctg15_31|[39794:40604](+)|window_496--NPDC018347,ctg15_32|[40665:41904](+)|window_496--NPDC018347,ctg15_3|[5755:6919](+)|window_496--NPDC018347,ctg15_4|[7074:8214](-)|window_496--NPDC018347,ctg15_5|[8476:8989](-)|window_496--NPDC018347,ctg15_6|[9372:11085](+)|window_496--NPDC018347,ctg15_7|[11086:12595](+)|window_496--NPDC018347,ctg15_8|[12655:13606](+)|window_496--NPDC018347,ctg15_9|[13602:14577](+)|window_496--NPDC018347
window_106--GCA_900110755.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
window_120--NPDC004732,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_126--GCA_014649235.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_128--NPDC015242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_136--NPDC007153,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_159--GCA_005938145.1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_202--NPDC001789,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_225--NPDC025244,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_236--NPDC045608,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_237--NPDC001922,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_254--GCA_014203475.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_267--NPDC046215,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_268--NPDC025403,1,1,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1
window_296--GCA_022698305.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_320--NPDC004259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_324--NPDC006537,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_328--GCA_008704495.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
window_330--NPDC006439,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_332--NPDC053390,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_338--NPDC023457,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_343--GCA_039524935.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_352--NPDC049867,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_359--NPDC005853,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_36--NPDC057840,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_37--NPDC025395,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_377--NPDC002055,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_38--NPDC057796,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
