,window_385--GCA_014654785.1,window_236--NPDC045608,window_423--NPDC052115,window_328--GCA_008704495.1,window_37--NPDC025395,window_738--GCA_008704795.1,window_159--GCA_005938145.1,window_50--NPDC052114,window_653--NPDC059887,window_720--NPDC032246,window_268--NPDC025403,window_790--NPDC053754,window_64--NPDC045938,window_533--NPDC007986,window_680--GCA_014650495.1,window_741--GCA_044326745.1,window_330--NPDC006439,window_9--GCA_036227125.1,window_657--NPDC053751,window_267--NPDC046215,window_495--GCA_044326755.1,window_439--NPDC041068,window_584--NPDC021736,window_757--NPDC003691,window_690--NPDC020656,window_120--NPDC004732,window_332--NPDC053390,window_359--NPDC005853,window_86--NPDC000785,window_571--GCA_008042075.1,window_254--GCA_014203475.1,window_352--NPDC049867,window_484--GCA_030490905.1,window_438--NPDC023046,window_38--NPDC057796,window_601--NPDC045376,window_389--NPDC053753,window_815--NPDC057833,window_430--NPDC057836,window_296--GCA_022698305.1,window_343--GCA_039524935.1,window_510--GCA_014656295.1,window_106--GCA_900110755.1,window_68--NPDC050504,window_237--NPDC001922,window_377--NPDC002055,window_225--NPDC025244,window_496--NPDC018347,window_512--NPDC051636,window_748--GCA_002556545.1,window_535--NPDC024387,window_534--NPDC031945,window_455--NPDC057837,window_502--NPDC012751,window_798--NPDC024139,window_742--NPDC057838,window_338--NPDC023457,window_747--NPDC021432,window_823--GCA_000590515.1,window_136--NPDC007153,window_807--GCA_003933965.1,window_320--NPDC004259,window_644--NPDC021450,window_128--NPDC015242,window_734--NPDC020840,window_324--NPDC006537,window_781--GCA_044326795.1,window_538--NPDC021725,window_202--NPDC001789,window_36--NPDC057840,window_126--GCA_014649235.1,window_591--GCA_006088715.1,window_448--NPDC007050
window_385--GCA_014654785.1,1.0,0.006158738730765655,0.003721049074593637,0.0009038573098201345,0.003922629169644682,0.004311010069424408,0.00528584259650525,0.003720051392172949,0.004845868311479476,0.003931259722042431,0.004383226981662362,0.005402325369774207,0.003913655900117278,0.0038473603187177776,0.04906122515912101,0.03409403048982461,0.003964457127844403,0.0017848694760349898,0.005425006697539135,0.0037454916020264136,0.03409403048982461,0.033172454619412525,0.004822094254079647,0.004216094671144617,0.004663811727941511,0.004292199377813157,0.005550142537238137,0.013366790522607735,0.004738261161790132,0.005404202049402474,0.003971185344522028,0.003594518648303479,0.004479604159841978,0.003931716857655063,0.031511283758786535,0.003963978890614081,0.003963500965040475,0.004698865580384718,0.004698865580384718,0.004476987733725006,0.004721644484652908,0.0012150049633154214,0.0008789830267082804,0.03639202242756845,0.004095804346069003,0.004120601928593051,0.005639683405775087,0.004757396073674489,0.003995726803717925,0.0041329941165577574,0.004502572898799314,0.004527911225794045,0.004637035648608427,0.004283648489019524,0.003963023350819033,0.004698865580384718,0.003963500965040475,0.004181357041743374,0.008530004827358665,0.004303728717500651,0.011308559326852012,0.003933548318302926,0.010399642229038665,0.004148094766357384,0.004240060316835327,0.0039308028776917385,0.035096375883372985,0.004767478745095612,0.00538369098834664,0.004698865580384718,0.004304454220879078,0.003691809855256247,0.003963978890614081
window_236--NPDC045608,0.006158738730765655,1.0,0.04093491832245724,0.030808582085526733,0.04264241654246284,0.04592494174346801,0.04336821215714501,0.04092646094638782,0.6689726261293354,0.5682410258276243,0.023435118200350977,0.730160559288632,0.5662938112164054,0.5589586049210973,0.11510775248486188,0.01576960861739716,0.5719124774471999,0.015887428543026046,0.6867509487959859,0.04105352727486122,0.015769608617397162,0.0424173737843388,0.04121509485302613,0.04401584504808203,0.2663906248959408,0.04576617764819813,0.7462264773888789,0.23214152348832368,0.04952495755858924,0.019705470509205826,0.04305332849195474,0.039742633740154985,0.2579580117784955,0.5682915880188175,0.03978995562957689,0.5718595927640143,0.5718067423769917,0.01677831699141582,0.01677831699141582,0.0473248389538127,0.049296596061484954,0.022329146646017567,0.008532852900866774,0.04409285879315714,0.162976880856337,0.04396794018958766,0.670420863612132,0.028362783052622076,0.04293805919568027,0.0442458970259448,0.023965544498737435,0.26016940190874566,0.01661531080764196,0.022992547121938364,0.5717539262527809,0.01677831699141582,0.5718067423769917,0.04356257459396914,0.01576416264510148,0.25030827006515566,0.034203873232102326,0.04304433776790177,0.03691380178719776,0.01532628484534376,0.12329269607012058,0.5681904956986955,0.01614711532405824,0.04096152284702883,0.05494154588972918,0.01677831699141582,0.04606905384208188,0.04029838283964037,0.5718595927640143
window_423--NPDC052115,0.003721049074593637,0.04093491832245724,1.0,0.048951954407748806,0.09988672749274247,0.14310511313779117,0.04753426565295636,0.9902173913043478,0.02978155696727897,0.0224207790559995,0.013685466007060953,0.03467965945376429,0.02227408053995655,0.02172161736162738,0.06010681834627005,0.04481935008887498,0.02269742410434926,0.0051803812610079665,0.027677367744666115,0.02101140764440046,0.04481935008887498,0.0526565761432117,0.04365865450554239,0.05762697444295295,0.048033688900451205,0.12579230154479615,0.03658989523419076,0.17084238966963008,0.11819021168521453,0.012392401540689773,0.1270955927646124,0.04678810669698092,0.0452140511223105,0.022424588519438092,0.04690294597577949,0.022693438794096576,0.02268945608098319,0.009481098647417153,0.009481098647417153,0.15092450532261936,0.029254476431024187,0.014582396504540312,0.02503220612058176,0.07530159375999466,0.04009920049310413,0.04044912193538791,0.037705129120624514,0.03561416638676056,0.03868699517326115,0.05701009952422177,0.01421589230544741,0.046115981814592505,0.009318092463643294,0.01324289492864834,0.022685475962471183,0.009481098647417153,0.02268945608098319,0.05684922987856216,0.009570379229879852,0.04295251753089682,0.026906654888103662,0.07114406103242167,0.046824476354717176,0.05709205400018121,0.042054085654841714,0.02241697201974372,0.03727486679318841,0.043202224894747246,0.08220578905014844,0.009481098647417153,0.14299706304139592,0.07506162436208867,0.022693438794096576
window_328--GCA_008704495.1,0.0009038573098201345,0.030808582085526733,0.048951954407748806,1.0,0.052446009388633585,0.1571100165866306,0.01982940344994415,0.04893466124579021,0.038212933434536654,0.02693276083147978,0.01938134699447638,0.026354147848577092,0.038753330209871595,0.017197131436800343,0.02704351567226889,0.007130340941586594,0.02734219550303743,0.005148106008060803,0.026487715667637225,0.016597237882951203,0.007130340941586595,0.05229820302653712,0.018073784725047223,0.03837168947386097,0.03717122802797126,0.058851892996887145,0.02722462672364246,0.0732559981930412,0.0665836305858214,0.009949131851467173,0.14140256263558726,0.04724644628231365,0.03479699715024393,0.0269383988373689,0.04734685220913208,0.027336297243863453,0.027330402828455648,0.007895567983945577,0.007895567983945577,0.13896928321148566,0.022345693747307223,0.007567382697795251,0.004374255750142801,0.07864889601638751,0.042255809831440824,0.018806220917176954,0.027751922949471167,0.02270729447902862,0.01807084518180122,0.8189151163200692,0.020442199591249294,0.03541962155584835,0.007771908120392995,0.018496204837651156,0.027324512253057875,0.007895567983945577,0.02733040282845564,0.8036271316404177,0.0012117311227343637,0.03313232591971711,0.021114955476880165,0.05311404896973865,0.03211239002685684,0.00679402635589091,0.03170954317371377,0.02692712641782123,0.007416725339743274,0.017867026012464808,0.644909999655334,0.007895567983945577,0.13244127942334583,0.09027236564790904,0.027336297243863453
window_37--NPDC025395,0.003922629169644682,0.04264241654246284,0.09988672749274247,0.052446009388633585,1.0,0.08565854373504711,0.04448480154712611,0.09046993568467587,0.031506186669382354,0.02414540875810288,0.014558979752282146,0.03640428915586767,0.023998710242059934,0.023446247063730767,0.03731449237275835,0.06775728275628398,0.024422053806452647,0.005561143662771051,0.029021235045006415,0.04293710078697055,0.06775728275628398,0.07768994613545206,0.04041044111010117,0.04344686876968082,0.030184691518928324,0.13489805358426876,0.03831452493629414,0.10270951480781348,0.5903714883891737,0.012997141825842908,0.07667206767651752,0.12800013933883722,0.028429364134251588,0.02414921822154148,0.0906678358704901,0.024418068496199957,0.024414085783086573,0.010085127519997263,0.010085127519997263,0.09004773085766293,0.05855554690899445,0.01529912573138847,0.0048060036323318185,0.08063226738467785,0.02551661395832431,0.04977475099426319,0.039429758822727895,0.00900918243594433,0.024682634438732,0.061041701425242664,0.015089406050668604,0.029052187334366097,0.009922121336223404,0.014116408673869534,0.024410105664574563,0.010085127519997263,0.02441408578308657,0.060880831779583054,0.01015101133553703,0.02718399976525447,0.02751068376068377,0.07647473465710486,0.0352086261749019,0.008633095373925202,0.026653429759710117,0.02414160172184711,0.06131652773987957,0.039930604852598583,0.08623739095116933,0.010085127519997263,0.08568598117525533,0.06968233292150235,0.024418068496199957
window_738--GCA_008704795.1,0.004311010069424408,0.04592494174346801,0.14310511313779117,0.1571100165866306,0.08565854373504711,1.0,0.07074457216000657,0.14305811121041656,0.034829001034164454,0.027468223122884983,0.01624196365132763,0.03972710352064978,0.05172759620899765,0.026769061428512868,0.06846672771393744,0.06090361913345782,0.027744868171234748,0.006294752029021645,0.03161044104353792,0.026058851711285944,0.060903619133457834,0.06445579603982712,0.06494771787968653,0.06929509189627264,0.0563935982681186,0.12189794412002701,0.04163733930107624,0.17920229903729745,0.10722747863844903,0.0498302603663814,0.8537177339790267,0.05858732659359635,0.05357396048997789,0.02747203258632358,0.10245305498257345,0.02774088286098206,0.027736900147868677,0.011248594652050782,0.011248594652050782,0.8990706846738246,0.03430192049790967,0.016680035597271943,0.005453305131964695,0.11515638082929198,0.061654864716069485,0.0746310487846159,0.04275257318751,0.009958557968739217,0.04714310276583553,0.16846308938115062,0.016772389949714084,0.0544758911822599,0.011085588468276925,0.015799392572915016,0.027732920029356668,0.011248594652050782,0.027736900147868674,0.16988649665602293,0.011268973377748875,0.05131242689856422,0.02867415089273729,0.11130162165750479,0.05803373525650184,0.03340871867363132,0.05041399502250911,0.02746441608662921,0.05388182573216189,0.0642650240173861,0.1613752653586113,0.011248594652050782,0.8583810453421912,0.10268275153443848,0.02774088286098206
window_159--GCA_005938145.1,0.00528584259650525,0.04336821215714501,0.04753426565295636,0.01982940344994415,0.04448480154712611,0.07074457216000657,1.0,0.04751458724385624,0.032240034892636125,0.02491050907793474,0.026735307990694603,0.037110507358111194,0.02476427408164536,0.05766399883613421,0.06586596652852089,0.14472026395909074,0.025186264476837063,0.031116733644663306,0.032434486145125,0.023505549016310745,0.14472026395909077,0.04420861233783256,0.8646835283399991,0.04680905518764335,0.05386213950090998,0.04964032070979427,0.03901033532284789,0.1749139324574714,0.055857275155578194,0.015082628901291743,0.06404807899251322,0.022233982374425955,0.0510549275006144,0.024914306428619366,0.036059514079797905,0.02518229212693469,0.02517832236151501,0.1584094173982442,0.1584094173982442,0.07401344854378736,0.03171690581066349,0.013226230770041862,0.014336750117504798,0.02661720701358875,0.04588035030476061,0.04622902240103267,0.040119107965876734,0.03164716013496642,0.04447299214873224,0.047238496779608355,0.02726344829153745,0.051953344707001,0.15619790884458948,0.026294537298167622,0.02517435517805658,0.1584094173982442,0.02517832236151501,0.046787075680778514,0.17302376594342922,0.048803324936511835,0.02943714100467305,0.025566868663420877,0.08821714430510738,0.1387009214510812,0.047908425761147844,0.024906714142867603,0.14984451012292324,0.85547301286062,0.06484203279867301,0.1584094173982442,0.07081583294384294,0.0227883530571658,0.02518229212693469
window_50--NPDC052114,0.003720051392172949,0.04092646094638782,0.9902173913043478,0.04893466124579021,0.09046993568467587,0.14305811121041656,0.04751458724385624,1.0,0.029773021239901973,0.022412243328622503,0.013681142716571306,0.034671123726387296,0.022265544812579554,0.021713081634250384,0.06009264949545245,0.04481050415997959,0.022688888376972263,0.005178496749768889,0.027670716528528195,0.021002871917023463,0.04481050415997959,0.05263662249479795,0.04363897609644227,0.05760724250174379,0.048019520049633606,0.12575039888312725,0.036581359506813765,0.17082822081881247,0.10878117962930883,0.01238940849342771,0.1270485908372378,0.046768153048567164,0.045199882271492894,0.022416052792061096,0.04688299232736574,0.02268490306671958,0.022680920353606193,0.009478108852142092,0.009478108852142092,0.15087750339524475,0.02924594070364719,0.014578849189266755,0.025022894417988675,0.07527521060264758,0.040084900378407604,0.040434821820691386,0.03769659339324752,0.03560396785534908,0.03867269505856462,0.056990145875808015,0.014211569014957761,0.046101812963774906,0.009315102668368234,0.013238571638158694,0.022676940235094187,0.009478108852142092,0.022680920353606193,0.056829276230148405,0.009567504855516912,0.04293834868007922,0.0269036650928286,0.07111767787507459,0.04680552038872411,0.05706581024165568,0.042039916804024115,0.022408436292366725,0.037265744259313394,0.04318254648564712,0.08218583540173469,0.009478108852142092,0.1429500611140213,0.07502759230618299,0.02268490306671958
window_653--NPDC059887,0.004845868311479476,0.6689726261293354,0.02978155696727897,0.038212933434536654,0.031506186669382354,0.034829001034164454,0.032240034892636125,0.029773021239901973,1.0,0.7751879113992264,0.017776801698145238,0.8257442002450229,0.7714217467273587,0.58126913944004,0.044355672165830945,0.02670072509145243,0.7819933795886307,0.010958484495979293,0.616169115879292,0.02985198011344717,0.026700725091452434,0.03127580023453564,0.03008691758851725,0.03287103416048523,0.16541519379535552,0.034668065117045975,0.6710720689586798,0.10975069460088609,0.03848437149107121,0.019420303927756476,0.031921611721110764,0.02857709739312017,0.15946492785079047,0.7589426955397329,0.05010131401203488,0.7818953409564146,0.7817973662138253,0.012850205102593094,0.012850205102593094,0.036249032162069574,0.0380950489000709,0.01779887278915783,0.030130686499877553,0.03297323647117917,0.14947251712233525,0.03283920324630137,0.6130001982715387,0.022704466550416337,0.03179857720567533,0.04825992294318483,0.018307227996531693,0.16040197527169342,0.012687198918819236,0.017334230619732625,0.78169945529843,0.012850205102593094,0.7817973662138252,0.04754556648706762,0.01202615477001616,0.15315825908552627,0.0302757613432796,0.031918788944144336,0.026774414482010386,0.011398172956521034,0.05675877158228883,0.7750942583073344,0.012219003435235513,0.029833345582519946,0.059142081603083194,0.012850205102593094,0.03497371532057248,0.02913320435182358,0.7818953409564144
window_720--NPDC032246,0.003931259722042431,0.5682410258276243,0.0224207790559995,0.02693276083147978,0.02414540875810288,0.027468223122884983,0.02491050907793474,0.022412243328622503,0.7751879113992264,1.0,0.014277704497822171,0.7121001810004275,0.8714514757419335,0.4569131387326114,0.03707812253384957,0.018178711050818287,0.9789674952198854,0.007967503178676807,0.5285563908402593,0.022491202202167698,0.018178711050818287,0.023915022323256166,0.022757391773815867,0.025510256249205755,0.34484608662283867,0.0273072872057665,0.5577183178493073,0.1024731449689047,0.031123593579791733,0.013023033483036156,0.02456083380983129,0.021216319481840697,0.21263775293896336,0.9901210962396432,0.03704963821092491,0.9888463989802423,0.9888463989802423,0.043153185351594917,0.043153185351594917,0.0288882542507901,0.030734270988791425,0.01501113782506358,0.0228138177843812,0.025612458559899694,0.2330149420329723,0.04654059027864001,0.5112314892950354,0.01920536935009327,0.024437799294395858,0.03500500078886663,0.01480813079620863,0.3317996384166818,0.04232691262694811,0.013835133419409559,0.9669259658323005,0.043153185351594917,0.9888463989802423,0.03429064433274943,0.009857697659754194,0.20187557296771885,0.027536542544504338,0.02455801103286486,0.020124998806959726,0.008658954157745771,0.12479752702807446,1.0,0.00947978463646025,0.022503819767818563,0.045887159448764994,0.043153185351594917,0.027612937409293006,0.021772426440544106,0.9888463989802423
