Gene Names,ctg34_39|[341:884](+)|window_535--NPDC024387,ctg34_40|[1626:2385](+)|window_535--NPDC024387,ctg34_41|[2454:3492](+)|window_535--NPDC024387,ctg34_42|[3649:4633](-)|window_535--NPDC024387,ctg34_43|[4931:5339](-)|window_535--NPDC024387,ctg34_44|[5385:6549](-)|window_535--NPDC024387,ctg34_45|[6541:7150](-)|window_535--NPDC024387,ctg34_46|[7146:7980](-)|window_535--NPDC024387,ctg34_47|[7992:8253](-)|window_535--NPDC024387,ctg34_48|[8284:9565](-)|window_535--NPDC024387,ctg34_49|[9561:10962](-)|window_535--NPDC024387,ctg34_50|[10967:11918](-)|window_535--NPDC024387,ctg34_51|[11927:12755](-)|window_535--NPDC024387,ctg34_52|[12776:13016](-)|window_535--NPDC024387,ctg34_53|[13033:13450](-)|window_535--NPDC024387,ctg34_54|[13451:14300](-)|window_535--NPDC024387,ctg34_55|[14299:15166](-)|window_535--NPDC024387,ctg34_56|[15399:15567](-)|window_535--NPDC024387,ctg34_57|[15808:16297](+)|window_535--NPDC024387,ctg34_58|[16448:17099](+)|window_535--NPDC024387,ctg34_59|[17780:20153](+)|window_535--NPDC024387,ctg34_60|[20160:20337](+)|window_535--NPDC024387,ctg34_61|[20333:21704](+)|window_535--NPDC024387,ctg34_62|[21744:23067](+)|window_535--NPDC024387,ctg34_63|[23143:24400](-)|window_535--NPDC024387,ctg34_64|[24654:25851](+)|window_535--NPDC024387,ctg34_65|[25915:26449](+)|window_535--NPDC024387,ctg34_66|[26541:27720](-)|window_535--NPDC024387,ctg34_67|[28018:28993](-)|window_535--NPDC024387,ctg34_68|[28989:29940](-)|window_535--NPDC024387,ctg34_69|[30000:31509](-)|window_535--NPDC024387,ctg34_70|[31510:33223](-)|window_535--NPDC024387,ctg34_71|[33606:34119](+)|window_535--NPDC024387,ctg34_72|[34426:35521](+)|window_535--NPDC024387,ctg34_73|[35676:36840](-)|window_535--NPDC024387,ctg34_74|[36839:39092](-)|window_535--NPDC024387,ctg34_75|[39088:42466](-)|window_535--NPDC024387
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
