Gene Names,GCM10010245_81790|[932:2294](-)|window_126--GCA_014649235.1,GCM10010245_81800|[2493:3372](+)|window_126--GCA_014649235.1,GCM10010245_81810|[3382:4543](-)|window_126--GCA_014649235.1,GCM10010245_81820|[4797:5739](+)|window_126--GCA_014649235.1,GCM10010245_81830|[5786:6770](-)|window_126--GCA_014649235.1,GCM10010245_81840|[6867:7794](-)|window_126--GCA_014649235.1,GCM10010245_81850|[7874:8273](+)|window_126--GCA_014649235.1,GCM10010245_81860|[8316:9444](-)|window_126--GCA_014649235.1,GCM10010245_81870|[9730:11152](+)|window_126--GCA_014649235.1,GCM10010245_81880|[11188:11743](-)|window_126--GCA_014649235.1,GCM10010245_81900|[12705:13575](-)|window_126--GCA_014649235.1,GCM10010245_81910|[13531:14119](+)|window_126--GCA_014649235.1,GCM10010245_81920|[14118:14352](+)|window_126--GCA_014649235.1,GCM10010245_81930|[14471:14975](-)|window_126--GCA_014649235.1,GCM10010245_81940|[16034:17132](+)|window_126--GCA_014649235.1,GCM10010245_81950|[17196:18150](-)|window_126--GCA_014649235.1,GCM10010245_81960|[18239:19160](+)|window_126--GCA_014649235.1,GCM10010245_81970|[19156:20137](+)|window_126--GCA_014649235.1,GCM10010245_81980|[20112:20526](-)|window_126--GCA_014649235.1,GCM10010245_81990|[20479:21532](+)|window_126--GCA_014649235.1,GCM10010245_82000|[21793:22042](+)|window_126--GCA_014649235.1,GCM10010245_82010|[22553:23927](+)|window_126--GCA_014649235.1,GCM10010245_82020|[23984:24677](+)|window_126--GCA_014649235.1,GCM10010245_82030|[24689:25697](+)|window_126--GCA_014649235.1,GCM10010245_82040|[25748:26888](+)|window_126--GCA_014649235.1,GCM10010245_82050|[26965:27925](+)|window_126--GCA_014649235.1,GCM10010245_82060|[27983:28958](-)|window_126--GCA_014649235.1,GCM10010245_82070|[28954:29905](-)|window_126--GCA_014649235.1,GCM10010245_82080|[30000:31536](-)|window_126--GCA_014649235.1,GCM10010245_82090|[31539:33255](-)|window_126--GCA_014649235.1,GCM10010245_82100|[34070:36215](+)|window_126--GCA_014649235.1,GCM10010245_82110|[36406:37570](+)|window_126--GCA_014649235.1,GCM10010245_82120|[37591:38146](+)|window_126--GCA_014649235.1,GCM10010245_82130|[38414:39104](-)|window_126--GCA_014649235.1,GCM10010245_82140|[39220:39577](+)|window_126--GCA_014649235.1,GCM10010245_82150|[39661:40243](-)|window_126--GCA_014649235.1,GCM10010245_82160|[40671:41412](+)|window_126--GCA_014649235.1,GCM10010245_82170|[41995:42286](-)|window_126--GCA_014649235.1,GCM10010245_82180|[42307:42562](-)|window_126--GCA_014649235.1,GCM10010245_82190|[42594:45459](-)|window_126--GCA_014649235.1,GCM10010245_82200|[45651:46446](+)|window_126--GCA_014649235.1,GCM10010245_82210|[46745:47258](+)|window_126--GCA_014649235.1,GCM10010245_82220|[47203:48166](+)|window_126--GCA_014649235.1,GCM10010245_82230|[48362:48713](+)|window_126--GCA_014649235.1,GCM10010245_82240|[48996:50754](+)|window_126--GCA_014649235.1,GCM10010245_82250|[51396:52065](-)|window_126--GCA_014649235.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
window_126--GCA_014649235.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
window_320--NPDC004259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
