Gene Names,ctg42_10|[7447:8287](-)|window_534--NPDC031945,ctg42_11|[8395:9310](+)|window_534--NPDC031945,ctg42_12|[9421:10315](+)|window_534--NPDC031945,ctg42_13|[10321:10948](-)|window_534--NPDC031945,ctg42_14|[11005:11413](+)|window_534--NPDC031945,ctg42_15|[11441:11870](-)|window_534--NPDC031945,ctg42_16|[11901:13746](-)|window_534--NPDC031945,ctg42_17|[14053:14626](-)|window_534--NPDC031945,ctg42_18|[14744:15614](+)|window_534--NPDC031945,ctg42_19|[15845:16610](-)|window_534--NPDC031945,ctg42_20|[16669:23872](-)|window_534--NPDC031945,ctg42_21|[23868:27117](-)|window_534--NPDC031945,ctg42_22|[27113:28409](-)|window_534--NPDC031945,ctg42_23|[28693:28909](+)|window_534--NPDC031945,ctg42_24|[28990:29650](-)|window_534--NPDC031945,ctg42_25|[30000:31719](+)|window_534--NPDC031945,ctg42_26|[31721:33251](+)|window_534--NPDC031945,ctg42_27|[33303:34254](+)|window_534--NPDC031945,ctg42_28|[34250:35225](+)|window_534--NPDC031945,ctg42_29|[35337:36519](+)|window_534--NPDC031945,ctg42_2|[877:1249](-)|window_534--NPDC031945,ctg42_30|[36578:37538](-)|window_534--NPDC031945,ctg42_31|[37554:38694](-)|window_534--NPDC031945,ctg42_32|[38727:39732](-)|window_534--NPDC031945,ctg42_33|[39784:40429](-)|window_534--NPDC031945,ctg42_34|[40492:41890](-)|window_534--NPDC031945,ctg42_35|[42079:44122](-)|window_534--NPDC031945,ctg42_36|[44672:48050](+)|window_534--NPDC031945,ctg42_37|[48096:48576](-)|window_534--NPDC031945,ctg42_38|[48803:49655](+)|window_534--NPDC031945,ctg42_39|[49669:50515](-)|window_534--NPDC031945,ctg42_3|[1248:1479](-)|window_534--NPDC031945,ctg42_40|[50544:51669](-)|window_534--NPDC031945,ctg42_41|[52068:52779](+)|window_534--NPDC031945,ctg42_42|[52804:53608](-)|window_534--NPDC031945,ctg42_43|[53735:54059](+)|window_534--NPDC031945,ctg42_44|[54085:54637](+)|window_534--NPDC031945,ctg42_45|[54687:55155](+)|window_534--NPDC031945,ctg42_4|[1617:2064](+)|window_534--NPDC031945,ctg42_5|[2053:5107](-)|window_534--NPDC031945,ctg42_6|[5103:6261](-)|window_534--NPDC031945,ctg42_7|[6265:6493](+)|window_534--NPDC031945,ctg42_8|[6601:6997](+)|window_534--NPDC031945,ctg42_9|[7068:7443](+)|window_534--NPDC031945
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
