Gene Names,KY5_7991|[978:1839](+)|window_748--GCA_002556545.1,KY5_7992c|[1885:2359](-)|window_748--GCA_002556545.1,KY5_7993|[2506:3568](+)|window_748--GCA_002556545.1,KY5_7994|[3869:4607](+)|window_748--GCA_002556545.1,KY5_7995|[4627:7753](+)|window_748--GCA_002556545.1,KY5_7996|[7777:9043](+)|window_748--GCA_002556545.1,KY5_7997|[9551:10352](+)|window_748--GCA_002556545.1,KY5_7998|[10510:10882](+)|window_748--GCA_002556545.1,KY5_7999c|[11007:11151](-)|window_748--GCA_002556545.1,KY5_8000c|[11659:12370](-)|window_748--GCA_002556545.1,KY5_8001c|[12371:13844](-)|window_748--GCA_002556545.1,KY5_8002|[14036:14699](+)|window_748--GCA_002556545.1,KY5_8003|[14695:15907](+)|window_748--GCA_002556545.1,KY5_8004|[16174:16675](+)|window_748--GCA_002556545.1,KY5_8005|[16707:17775](+)|window_748--GCA_002556545.1,KY5_8006|[17949:18297](+)|window_748--GCA_002556545.1,KY5_8007c|[18376:21202](-)|window_748--GCA_002556545.1,KY5_8008c|[21330:22167](-)|window_748--GCA_002556545.1,KY5_8009|[22322:22718](+)|window_748--GCA_002556545.1,KY5_8010|[22812:23457](+)|window_748--GCA_002556545.1,KY5_8011|[23686:25060](+)|window_748--GCA_002556545.1,KY5_8012|[25107:25752](+)|window_748--GCA_002556545.1,KY5_8013|[25761:26769](+)|window_748--GCA_002556545.1,KY5_8014|[26823:27963](+)|window_748--GCA_002556545.1,KY5_8015c|[28040:29015](-)|window_748--GCA_002556545.1,KY5_8016c|[29011:29962](-)|window_748--GCA_002556545.1,KY5_8017c|[30000:31530](-)|window_748--GCA_002556545.1,KY5_8018c|[31535:33251](-)|window_748--GCA_002556545.1,KY5_8019|[33923:36041](+)|window_748--GCA_002556545.1,KY5_8020|[36220:37384](+)|window_748--GCA_002556545.1,KY5_8021|[37404:37986](+)|window_748--GCA_002556545.1,KY5_8022|[38250:39045](+)|window_748--GCA_002556545.1,KY5_8023c|[39190:47260](-)|window_748--GCA_002556545.1,KY5_8024|[47445:49185](+)|window_748--GCA_002556545.1,KY5_8025c|[49192:50044](-)|window_748--GCA_002556545.1,KY5_8026c|[50114:50951](-)|window_748--GCA_002556545.1,KY5_8027|[50990:51866](+)|window_748--GCA_002556545.1,KY5_8028c|[51973:54052](-)|window_748--GCA_002556545.1,KY5_8029c|[54284:54989](-)|window_748--GCA_002556545.1,KY5_8030|[55184:56510](+)|window_748--GCA_002556545.1,KY5_8031c|[56563:57274](-)|window_748--GCA_002556545.1,KY5_8032c|[57348:58095](-)|window_748--GCA_002556545.1,KY5_8033c|[58494:59445](-)|window_748--GCA_002556545.1,KY5_8034c|[59638:60184](-)|window_748--GCA_002556545.1,KY5_8035|[60459:60963](+)|window_748--GCA_002556545.1,KY5_8036|[61028:61616](+)|window_748--GCA_002556545.1,KY5_8037|[61615:61849](+)|window_748--GCA_002556545.1,KY5_8038c|[61902:62451](-)|window_748--GCA_002556545.1,KY5_8039|[62721:63105](+)|window_748--GCA_002556545.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
window_320--NPDC004259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_330--NPDC006439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_359--NPDC005853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_377--NPDC002055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_385--GCA_014654785.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_389--NPDC053753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
