Representation Scores:
Filename	Score	Normalized_score
window_438--NPDC023046	19.03	0.3069
window_720--NPDC032246	19.01	0.3067
window_324--NPDC006537	19.00	0.3065
window_330--NPDC006439	18.99	0.3113
window_601--NPDC045376	18.97	0.3110
window_448--NPDC007050	18.97	0.3110
window_389--NPDC053753	18.96	0.3108
window_338--NPDC023457	18.96	0.3108
window_798--NPDC024139	18.95	0.3106
window_64--NPDC045938	18.48	0.2981
window_653--NPDC059887	15.75	0.3751
window_533--NPDC007986	15.21	0.2534
window_790--NPDC053754	14.78	0.4106
window_332--NPDC053390	13.81	0.4061
window_225--NPDC025244	13.38	0.4056
window_534--NPDC031945	13.32	0.3027
window_690--NPDC020656	13.22	0.3149
window_657--NPDC053751	12.95	0.3807
window_236--NPDC045608	12.84	0.4280
window_484--GCA_030490905.1	12.56	0.2854
window_136--NPDC007153	12.55	0.2671
window_237--NPDC001922	12.44	0.2439
window_254--GCA_014203475.1	12.21	0.2260
window_738--GCA_008704795.1	12.16	0.2339
window_126--GCA_014649235.1	11.90	0.2588
window_296--GCA_022698305.1	11.88	0.2762
window_423--NPDC052115	11.55	0.1925
window_50--NPDC052114	11.51	0.1918
window_747--NPDC021432	11.40	0.2374
window_748--GCA_002556545.1	11.32	0.2309
window_734--NPDC020840	11.31	0.2406
window_38--NPDC057796	11.02	0.1695
window_591--GCA_006088715.1	10.78	0.1891
window_538--NPDC021725	10.77	0.2032
window_584--NPDC021736	10.76	0.2069
window_37--NPDC025395	10.75	0.1991
window_159--GCA_005938145.1	10.68	0.2135
window_120--NPDC004732	10.66	0.2368
window_202--NPDC001789	10.64	0.3326
window_352--NPDC049867	10.63	0.1687
window_455--NPDC057837	10.59	0.2254
window_815--NPDC057833	10.58	0.2300
window_430--NPDC057836	10.58	0.2300
window_742--NPDC057838	10.58	0.2300
window_36--NPDC057840	10.58	0.2300
window_86--NPDC000785	10.49	0.2761
window_320--NPDC004259	10.47	0.2180
window_68--NPDC050504	10.40	0.2122
window_439--NPDC041068	10.32	0.2063
window_267--NPDC046215	10.16	0.1752
window_757--NPDC003691	10.14	0.2204
window_377--NPDC002055	10.03	0.2089
window_512--NPDC051636	9.85	0.1970
window_343--GCA_039524935.1	9.83	0.2731
window_128--NPDC015242	9.74	0.1837
window_781--GCA_044326795.1	9.39	0.1916
window_680--GCA_014650495.1	9.28	0.3093
window_495--GCA_044326755.1	9.23	0.1923
window_741--GCA_044326745.1	9.19	0.1915
window_359--NPDC005853	9.00	0.6003
window_328--GCA_008704495.1	8.70	0.1707
window_268--NPDC025403	8.18	0.2097
window_502--NPDC012751	8.13	0.2032
window_535--NPDC024387	8.12	0.2195
window_571--GCA_008042075.1	7.89	0.2254
window_644--NPDC021450	7.47	0.1333
window_496--NPDC018347	7.36	0.2300
window_807--GCA_003933965.1	7.22	0.4013
window_9--GCA_036227125.1	5.45	0.1113
window_385--GCA_014654785.1	5.32	0.1772
window_510--GCA_014656295.1	5.20	0.2000
window_823--GCA_000590515.1	5.02	0.2281
window_106--GCA_900110755.1	4.73	0.1006
