Gene Names,ctg64_10|[14607:15786](+)|window_268--NPDC025403,ctg64_11|[15878:16415](-)|window_268--NPDC025403,ctg64_12|[16476:17673](-)|window_268--NPDC025403,ctg64_13|[17927:19184](+)|window_268--NPDC025403,ctg64_14|[19260:20607](-)|window_268--NPDC025403,ctg64_15|[20625:21996](-)|window_268--NPDC025403,ctg64_16|[21999:22263](+)|window_268--NPDC025403,ctg64_17|[22175:24548](-)|window_268--NPDC025403,ctg64_18|[24547:24685](-)|window_268--NPDC025403,ctg64_19|[24681:24984](-)|window_268--NPDC025403,ctg64_1|[2:3251](+)|window_268--NPDC025403,ctg64_20|[25229:25862](-)|window_268--NPDC025403,ctg64_21|[26031:26520](-)|window_268--NPDC025403,ctg64_22|[26761:26932](+)|window_268--NPDC025403,ctg64_23|[27165:28032](+)|window_268--NPDC025403,ctg64_24|[28031:28880](+)|window_268--NPDC025403,ctg64_25|[28881:29298](+)|window_268--NPDC025403,ctg64_26|[29315:29555](+)|window_268--NPDC025403,ctg64_27|[29576:30404](+)|window_268--NPDC025403,ctg64_28|[30413:31364](+)|window_268--NPDC025403,ctg64_29|[31360:32770](+)|window_268--NPDC025403,ctg64_2|[3247:5500](+)|window_268--NPDC025403,ctg64_30|[32766:34047](+)|window_268--NPDC025403,ctg64_31|[34078:34339](+)|window_268--NPDC025403,ctg64_32|[34351:35185](+)|window_268--NPDC025403,ctg64_33|[35181:35790](+)|window_268--NPDC025403,ctg64_34|[35782:36946](+)|window_268--NPDC025403,ctg64_35|[36991:37399](+)|window_268--NPDC025403,ctg64_36|[37698:38682](+)|window_268--NPDC025403,ctg64_37|[38842:39922](-)|window_268--NPDC025403,ctg64_38|[39949:40708](-)|window_268--NPDC025403,ctg64_39|[40709:41462](-)|window_268--NPDC025403,ctg64_3|[5499:6663](+)|window_268--NPDC025403,ctg64_4|[6819:8079](-)|window_268--NPDC025403,ctg64_5|[8207:8747](-)|window_268--NPDC025403,ctg64_6|[9190:10816](+)|window_268--NPDC025403,ctg64_7|[10817:12326](+)|window_268--NPDC025403,ctg64_8|[12386:13337](+)|window_268--NPDC025403,ctg64_9|[13333:14308](+)|window_268--NPDC025403
window_106--GCA_900110755.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
window_120--NPDC004732,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_126--GCA_014649235.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_128--NPDC015242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_136--NPDC007153,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_159--GCA_005938145.1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_202--NPDC001789,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_225--NPDC025244,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_236--NPDC045608,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_237--NPDC001922,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_254--GCA_014203475.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_267--NPDC046215,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_268--NPDC025403,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
window_296--GCA_022698305.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_320--NPDC004259,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_324--NPDC006537,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_328--GCA_008704495.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
window_330--NPDC006439,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_332--NPDC053390,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_338--NPDC023457,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_343--GCA_039524935.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_352--NPDC049867,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_359--NPDC005853,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_36--NPDC057840,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_37--NPDC025395,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_377--NPDC002055,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_38--NPDC057796,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
