Gene Names,EAO75_43435|[<0:94](+)|window_571--GCA_008042075.1,EAO75_43440|[247:781](+)|window_571--GCA_008042075.1,EAO75_43455|[2295:3351](-)|window_571--GCA_008042075.1,EAO75_43465|[4638:5259](+)|window_571--GCA_008042075.1,EAO75_43470|[5543:5948](-)|window_571--GCA_008042075.1,EAO75_43475|[6006:6468](-)|window_571--GCA_008042075.1,EAO75_43480|[6719:7619](-)|window_571--GCA_008042075.1,EAO75_43500|[9980:10487](-)|window_571--GCA_008042075.1,EAO75_43505|[10600:11455](-)|window_571--GCA_008042075.1,EAO75_43510|[11451:12117](-)|window_571--GCA_008042075.1,EAO75_43515|[12129:12597](-)|window_571--GCA_008042075.1,EAO75_43520|[12616:14125](-)|window_571--GCA_008042075.1,EAO75_43525|[14191:14851](+)|window_571--GCA_008042075.1,EAO75_43530|[14938:17773](-)|window_571--GCA_008042075.1,EAO75_43535|[17918:20975](+)|window_571--GCA_008042075.1,EAO75_43540|[21377:23849](+)|window_571--GCA_008042075.1,EAO75_43545|[24040:25375](+)|window_571--GCA_008042075.1,EAO75_43550|[25457:26378](+)|window_571--GCA_008042075.1,EAO75_43555|[26445:27648](-)|window_571--GCA_008042075.1,EAO75_43560|[27905:29621](+)|window_571--GCA_008042075.1,EAO75_43565|[29623:31150](+)|window_571--GCA_008042075.1,EAO75_43570|[31232:32183](+)|window_571--GCA_008042075.1,EAO75_43575|[32179:33154](+)|window_571--GCA_008042075.1,EAO75_43580|[33336:34518](+)|window_571--GCA_008042075.1,EAO75_43585|[34565:35210](-)|window_571--GCA_008042075.1,EAO75_43590|[35308:36592](-)|window_571--GCA_008042075.1,EAO75_43595|[36522:37572](-)|window_571--GCA_008042075.1,EAO75_43600|[37839:38811](-)|window_571--GCA_008042075.1,EAO75_43605|[38936:>39530](-)|window_571--GCA_008042075.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
window_120--NPDC004732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_254--GCA_014203475.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
