,ctg43_1|[1:685](-)|window_512--NPDC051636.gbff,ctg43_2|[681:852](-)|window_512--NPDC051636.gbff,ctg43_3|[848:986](-)|window_512--NPDC051636.gbff,ctg43_4|[1038:1413](-)|window_512--NPDC051636.gbff,ctg43_5|[1409:3260](-)|window_512--NPDC051636.gbff,ctg43_6|[3296:3644](-)|window_512--NPDC051636.gbff,ctg43_7|[3649:4504](+)|window_512--NPDC051636.gbff,ctg43_8|[4506:4848](+)|window_512--NPDC051636.gbff,ctg43_9|[4858:5554](+)|window_512--NPDC051636.gbff,ctg43_10|[5531:5702](+)|window_512--NPDC051636.gbff,ctg43_11|[5820:6216](-)|window_512--NPDC051636.gbff,ctg43_12|[6218:6629](-)|window_512--NPDC051636.gbff,ctg43_13|[6983:7796](-)|window_512--NPDC051636.gbff,ctg43_14|[8007:8253](+)|window_512--NPDC051636.gbff,ctg43_15|[8249:9164](-)|window_512--NPDC051636.gbff,ctg43_16|[9292:10318](-)|window_512--NPDC051636.gbff,ctg43_17|[10326:10938](+)|window_512--NPDC051636.gbff,ctg43_18|[11250:11400](+)|window_512--NPDC051636.gbff,ctg43_19|[11468:12452](+)|window_512--NPDC051636.gbff,ctg43_20|[12677:12980](+)|window_512--NPDC051636.gbff,ctg43_21|[13095:13629](+)|window_512--NPDC051636.gbff,ctg43_22|[13679:14087](+)|window_512--NPDC051636.gbff,ctg43_23|[14045:15308](-)|window_512--NPDC051636.gbff,ctg43_24|[15390:15918](-)|window_512--NPDC051636.gbff,ctg43_25|[15914:16514](-)|window_512--NPDC051636.gbff,ctg43_26|[16699:16873](+)|window_512--NPDC051636.gbff,ctg43_27|[16832:17738](+)|window_512--NPDC051636.gbff,ctg43_28|[17731:18529](+)|window_512--NPDC051636.gbff,ctg43_29|[18574:19123](-)|window_512--NPDC051636.gbff,ctg43_30|[19198:19351](-)|window_512--NPDC051636.gbff,ctg43_31|[19616:19946](-)|window_512--NPDC051636.gbff,ctg43_32|[19981:21160](-)|window_512--NPDC051636.gbff,ctg43_33|[21301:22276](-)|window_512--NPDC051636.gbff,ctg43_34|[22272:23295](-)|window_512--NPDC051636.gbff,ctg43_35|[23294:24830](-)|window_512--NPDC051636.gbff,ctg43_36|[24831:26547](-)|window_512--NPDC051636.gbff,ctg43_37|[26856:28230](+)|window_512--NPDC051636.gbff,ctg43_38|[28313:28958](+)|window_512--NPDC051636.gbff,ctg43_39|[29007:30009](+)|window_512--NPDC051636.gbff,ctg43_40|[30044:31184](+)|window_512--NPDC051636.gbff,ctg43_41|[31389:32349](+)|window_512--NPDC051636.gbff,ctg43_42|[32311:34585](-)|window_512--NPDC051636.gbff,ctg43_43|[34785:35022](-)|window_512--NPDC051636.gbff,ctg43_44|[35018:35159](-)|window_512--NPDC051636.gbff,ctg43_45|[35199:36738](+)|window_512--NPDC051636.gbff,ctg43_46|[36859:37345](+)|window_512--NPDC051636.gbff,ctg43_47|[37374:37770](+)|window_512--NPDC051636.gbff,ctg43_48|[37871:38000](-)|window_512--NPDC051636.gbff,ctg43_49|[38039:38546](+)|window_512--NPDC051636.gbff,ctg43_50|[38658:39321](+)|window_512--NPDC051636.gbff
window_512--NPDC051636.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_9--GCA_036227125.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_106--GCA_900110755.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
window_734--NPDC020840.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
window_534--NPDC031945.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
window_136--NPDC007153.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
window_653--NPDC059887.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0
window_236--NPDC045608.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0
