Gene Names,ctg2_100|[44419:47158](-)|window_377--NPDC002055,ctg2_101|[47252:47531](+)|window_377--NPDC002055,ctg2_102|[48311:49235](-)|window_377--NPDC002055,ctg2_103|[49352:49769](+)|window_377--NPDC002055,ctg2_104|[49970:51170](-)|window_377--NPDC002055,ctg2_105|[51166:52918](-)|window_377--NPDC002055,ctg2_106|[53192:54347](+)|window_377--NPDC002055,ctg2_107|[54395:55478](+)|window_377--NPDC002055,ctg2_108|[55478:56201](-)|window_377--NPDC002055,ctg2_109|[56197:56863](-)|window_377--NPDC002055,ctg2_110|[56977:57976](-)|window_377--NPDC002055,ctg2_111|[58495:60403](+)|window_377--NPDC002055,ctg2_112|[60483:60774](+)|window_377--NPDC002055,ctg2_113|[60820:61786](+)|window_377--NPDC002055,ctg2_66|[1025:1481](+)|window_377--NPDC002055,ctg2_67|[1637:2189](-)|window_377--NPDC002055,ctg2_68|[2459:6590](-)|window_377--NPDC002055,ctg2_69|[6591:8313](-)|window_377--NPDC002055,ctg2_70|[8658:9360](+)|window_377--NPDC002055,ctg2_71|[9501:10650](-)|window_377--NPDC002055,ctg2_72|[11463:11637](+)|window_377--NPDC002055,ctg2_73|[11769:12438](-)|window_377--NPDC002055,ctg2_74|[12892:13465](-)|window_377--NPDC002055,ctg2_75|[15360:15885](+)|window_377--NPDC002055,ctg2_76|[16170:16893](+)|window_377--NPDC002055,ctg2_77|[16930:17566](+)|window_377--NPDC002055,ctg2_78|[18120:19143](+)|window_377--NPDC002055,ctg2_79|[19311:20151](+)|window_377--NPDC002055,ctg2_80|[20568:20781](+)|window_377--NPDC002055,ctg2_81|[21439:21655](-)|window_377--NPDC002055,ctg2_82|[21749:22343](+)|window_377--NPDC002055,ctg2_83|[22723:23944](-)|window_377--NPDC002055,ctg2_84|[23940:24411](-)|window_377--NPDC002055,ctg2_85|[24411:25530](-)|window_377--NPDC002055,ctg2_86|[26246:27206](-)|window_377--NPDC002055,ctg2_87|[27202:28207](-)|window_377--NPDC002055,ctg2_88|[28411:29416](+)|window_377--NPDC002055,ctg2_89|[30000:31716](+)|window_377--NPDC002055,ctg2_90|[31718:33245](+)|window_377--NPDC002055,ctg2_91|[33316:34267](+)|window_377--NPDC002055,ctg2_92|[34263:35238](+)|window_377--NPDC002055,ctg2_93|[35457:36600](+)|window_377--NPDC002055,ctg2_94|[36577:37591](-)|window_377--NPDC002055,ctg2_95|[37615:38755](-)|window_377--NPDC002055,ctg2_96|[38789:39794](-)|window_377--NPDC002055,ctg2_97|[39840:40485](-)|window_377--NPDC002055,ctg2_98|[40572:41946](-)|window_377--NPDC002055,ctg2_99|[42089:44234](-)|window_377--NPDC002055
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2
window_237--NPDC001922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
