Gene Names,ctg7_100|[14776:15121](-)|window_448--NPDC007050,ctg7_101|[15133:15361](-)|window_448--NPDC007050,ctg7_102|[15535:16255](-)|window_448--NPDC007050,ctg7_103|[16541:16757](+)|window_448--NPDC007050,ctg7_104|[16813:17659](+)|window_448--NPDC007050,ctg7_105|[17745:18717](-)|window_448--NPDC007050,ctg7_106|[18867:19290](+)|window_448--NPDC007050,ctg7_107|[20128:22201](+)|window_448--NPDC007050,ctg7_108|[22372:23749](+)|window_448--NPDC007050,ctg7_109|[23775:24420](+)|window_448--NPDC007050,ctg7_110|[24464:25469](+)|window_448--NPDC007050,ctg7_111|[25508:26648](+)|window_448--NPDC007050,ctg7_112|[26699:27881](-)|window_448--NPDC007050,ctg7_113|[27994:28969](-)|window_448--NPDC007050,ctg7_114|[28965:29916](-)|window_448--NPDC007050,ctg7_115|[30000:31527](-)|window_448--NPDC007050,ctg7_116|[31529:33245](-)|window_448--NPDC007050,ctg7_117|[33645:34338](+)|window_448--NPDC007050,ctg7_118|[34513:35038](-)|window_448--NPDC007050,ctg7_119|[35204:35636](-)|window_448--NPDC007050,ctg7_120|[35715:38055](+)|window_448--NPDC007050,ctg7_121|[38070:38688](+)|window_448--NPDC007050,ctg7_122|[38687:39725](+)|window_448--NPDC007050,ctg7_123|[40052:41333](-)|window_448--NPDC007050,ctg7_124|[41634:42819](+)|window_448--NPDC007050,ctg7_125|[42888:43752](-)|window_448--NPDC007050,ctg7_126|[43862:44435](+)|window_448--NPDC007050,ctg7_127|[44513:45056](+)|window_448--NPDC007050,ctg7_128|[45086:45575](-)|window_448--NPDC007050,ctg7_129|[45678:46086](-)|window_448--NPDC007050,ctg7_130|[46162:46789](+)|window_448--NPDC007050,ctg7_131|[47016:47832](+)|window_448--NPDC007050,ctg7_132|[47980:49153](+)|window_448--NPDC007050,ctg7_133|[49149:52236](+)|window_448--NPDC007050,ctg7_134|[52225:52672](-)|window_448--NPDC007050,ctg7_135|[52897:54073](-)|window_448--NPDC007050,ctg7_136|[54221:56117](-)|window_448--NPDC007050,ctg7_137|[56218:56854](-)|window_448--NPDC007050,ctg7_138|[57315:57831](+)|window_448--NPDC007050,ctg7_139|[57884:58118](+)|window_448--NPDC007050,ctg7_140|[58117:58489](+)|window_448--NPDC007050,ctg7_141|[58522:59911](-)|window_448--NPDC007050,ctg7_142|[60025:61417](-)|window_448--NPDC007050,ctg7_143|[61493:63065](-)|window_448--NPDC007050,ctg7_83|[240:1233](+)|window_448--NPDC007050,ctg7_84|[1229:1664](+)|window_448--NPDC007050,ctg7_85|[1660:2587](+)|window_448--NPDC007050,ctg7_86|[2685:3264](-)|window_448--NPDC007050,ctg7_87|[3758:4562](+)|window_448--NPDC007050,ctg7_88|[4828:5323](-)|window_448--NPDC007050,ctg7_89|[5369:6164](-)|window_448--NPDC007050,ctg7_90|[6549:7962](+)|window_448--NPDC007050,ctg7_91|[8133:9090](+)|window_448--NPDC007050,ctg7_92|[9148:9592](-)|window_448--NPDC007050,ctg7_93|[9793:10579](+)|window_448--NPDC007050,ctg7_94|[10627:11395](+)|window_448--NPDC007050,ctg7_95|[11662:12520](+)|window_448--NPDC007050,ctg7_96|[12516:13182](+)|window_448--NPDC007050,ctg7_97|[13232:13595](+)|window_448--NPDC007050,ctg7_98|[13591:14185](+)|window_448--NPDC007050,ctg7_99|[14340:14709](+)|window_448--NPDC007050
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
window_236--NPDC045608,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
window_237--NPDC001922,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
