Gene Names,ctg11_100|[48697:49720](+)|window_136--NPDC007153,ctg11_101|[49743:50571](-)|window_136--NPDC007153,ctg11_102|[50617:51742](-)|window_136--NPDC007153,ctg11_103|[52185:52896](+)|window_136--NPDC007153,ctg11_104|[52904:53708](-)|window_136--NPDC007153,ctg11_105|[53835:54159](+)|window_136--NPDC007153,ctg11_106|[54179:54734](+)|window_136--NPDC007153,ctg11_107|[54784:55837](+)|window_136--NPDC007153,ctg11_108|[56013:56997](-)|window_136--NPDC007153,ctg11_109|[57001:59212](-)|window_136--NPDC007153,ctg11_110|[59211:61101](-)|window_136--NPDC007153,ctg11_64|[738:1020](-)|window_136--NPDC007153,ctg11_65|[1496:1892](+)|window_136--NPDC007153,ctg11_66|[1963:2338](+)|window_136--NPDC007153,ctg11_67|[2342:3182](-)|window_136--NPDC007153,ctg11_68|[3336:4215](+)|window_136--NPDC007153,ctg11_69|[4326:5220](+)|window_136--NPDC007153,ctg11_70|[5249:5876](-)|window_136--NPDC007153,ctg11_71|[5933:6341](+)|window_136--NPDC007153,ctg11_72|[6357:6786](-)|window_136--NPDC007153,ctg11_73|[6817:8662](-)|window_136--NPDC007153,ctg11_74|[8978:9551](-)|window_136--NPDC007153,ctg11_75|[9669:10539](+)|window_136--NPDC007153,ctg11_76|[10846:11347](-)|window_136--NPDC007153,ctg11_77|[11973:13356](+)|window_136--NPDC007153,ctg11_78|[13380:13629](+)|window_136--NPDC007153,ctg11_79|[13733:15095](+)|window_136--NPDC007153,ctg11_80|[15082:15745](+)|window_136--NPDC007153,ctg11_81|[15867:16632](-)|window_136--NPDC007153,ctg11_82|[16691:23879](-)|window_136--NPDC007153,ctg11_83|[23875:27109](-)|window_136--NPDC007153,ctg11_84|[27105:28401](-)|window_136--NPDC007153,ctg11_85|[28693:28909](+)|window_136--NPDC007153,ctg11_86|[28991:29651](-)|window_136--NPDC007153,ctg11_87|[30000:31719](+)|window_136--NPDC007153,ctg11_88|[31721:33251](+)|window_136--NPDC007153,ctg11_89|[33303:34254](+)|window_136--NPDC007153,ctg11_90|[34250:35225](+)|window_136--NPDC007153,ctg11_91|[35338:36520](+)|window_136--NPDC007153,ctg11_92|[36557:37517](-)|window_136--NPDC007153,ctg11_93|[37572:38712](-)|window_136--NPDC007153,ctg11_94|[38751:39756](-)|window_136--NPDC007153,ctg11_95|[39808:40453](-)|window_136--NPDC007153,ctg11_96|[40522:41914](-)|window_136--NPDC007153,ctg11_97|[42103:44263](-)|window_136--NPDC007153,ctg11_98|[44618:48113](+)|window_136--NPDC007153,ctg11_99|[48161:48614](-)|window_136--NPDC007153
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0
window_136--NPDC007153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
window_225--NPDC025244,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
window_236--NPDC045608,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1
window_237--NPDC001922,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
