,ctg10_156|[714:1713](+)|window_36--NPDC057840.gbff,ctg10_157|[1760:2636](-)|window_36--NPDC057840.gbff,ctg10_158|[2650:3910](-)|window_36--NPDC057840.gbff,ctg10_159|[3970:5389](-)|window_36--NPDC057840.gbff,ctg10_160|[5762:8039](-)|window_36--NPDC057840.gbff,ctg10_161|[8194:10132](-)|window_36--NPDC057840.gbff,ctg10_162|[10176:10659](-)|window_36--NPDC057840.gbff,ctg10_163|[11250:12012](-)|window_36--NPDC057840.gbff,ctg10_164|[12206:12989](+)|window_36--NPDC057840.gbff,ctg10_165|[13091:13736](+)|window_36--NPDC057840.gbff,ctg10_166|[13744:16441](+)|window_36--NPDC057840.gbff,ctg10_167|[16437:17409](+)|window_36--NPDC057840.gbff,ctg10_168|[17405:18422](+)|window_36--NPDC057840.gbff,ctg10_169|[18436:18961](+)|window_36--NPDC057840.gbff,ctg10_170|[19000:19585](-)|window_36--NPDC057840.gbff,ctg10_171|[20044:21430](+)|window_36--NPDC057840.gbff,ctg10_172|[21521:21719](-)|window_36--NPDC057840.gbff,ctg10_173|[22210:23161](+)|window_36--NPDC057840.gbff,ctg10_174|[23327:24596](+)|window_36--NPDC057840.gbff,ctg10_175|[24633:25851](+)|window_36--NPDC057840.gbff,ctg10_176|[25932:26577](+)|window_36--NPDC057840.gbff,ctg10_177|[26653:27838](-)|window_36--NPDC057840.gbff,ctg10_178|[27975:28950](-)|window_36--NPDC057840.gbff,ctg10_179|[28946:29909](-)|window_36--NPDC057840.gbff,ctg10_180|[30000:31524](-)|window_36--NPDC057840.gbff,ctg10_181|[31526:33242](-)|window_36--NPDC057840.gbff,ctg10_182|[33533:34736](+)|window_36--NPDC057840.gbff,ctg10_183|[34772:35795](-)|window_36--NPDC057840.gbff,ctg10_184|[35775:37122](-)|window_36--NPDC057840.gbff,ctg10_185|[37360:39724](-)|window_36--NPDC057840.gbff,ctg10_186|[40393:40768](-)|window_36--NPDC057840.gbff,ctg10_187|[40764:41352](-)|window_36--NPDC057840.gbff,ctg10_188|[41469:43596](-)|window_36--NPDC057840.gbff,ctg10_189|[43592:44828](-)|window_36--NPDC057840.gbff,ctg10_190|[45014:45302](+)|window_36--NPDC057840.gbff,ctg10_191|[45298:46525](+)|window_36--NPDC057840.gbff,ctg10_192|[46639:48232](-)|window_36--NPDC057840.gbff,ctg10_193|[48924:50001](+)|window_36--NPDC057840.gbff,ctg10_194|[49997:50564](+)|window_36--NPDC057840.gbff,ctg10_195|[50563:51769](+)|window_36--NPDC057840.gbff,ctg10_196|[52708:53326](+)|window_36--NPDC057840.gbff,ctg10_197|[53318:54263](+)|window_36--NPDC057840.gbff,ctg10_198|[54308:58112](-)|window_36--NPDC057840.gbff,ctg10_199|[58444:58612](+)|window_36--NPDC057840.gbff,ctg10_200|[58613:59618](+)|window_36--NPDC057840.gbff,ctg10_201|[59948:61427](+)|window_36--NPDC057840.gbff
window_742--NPDC057838.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_36--NPDC057840.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_815--NPDC057833.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_430--NPDC057836.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_455--NPDC057837.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_128--NPDC015242.gbff,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
window_798--NPDC024139.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_438--NPDC023046.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_448--NPDC007050.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_389--NPDC053753.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537.gbff,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
