,ctg9_328|[816:1782](+)|window_747--NPDC021432.gbff,ctg9_329|[1896:2472](+)|window_747--NPDC021432.gbff,ctg9_330|[2602:2974](+)|window_747--NPDC021432.gbff,ctg9_331|[3032:4160](-)|window_747--NPDC021432.gbff,ctg9_332|[4395:6417](+)|window_747--NPDC021432.gbff,ctg9_333|[6494:8570](+)|window_747--NPDC021432.gbff,ctg9_334|[8781:9459](+)|window_747--NPDC021432.gbff,ctg9_335|[9495:11487](+)|window_747--NPDC021432.gbff,ctg9_336|[11461:12181](-)|window_747--NPDC021432.gbff,ctg9_337|[12182:13655](-)|window_747--NPDC021432.gbff,ctg9_338|[13853:14510](+)|window_747--NPDC021432.gbff,ctg9_339|[14506:15760](+)|window_747--NPDC021432.gbff,ctg9_340|[16024:16525](+)|window_747--NPDC021432.gbff,ctg9_341|[16577:17645](+)|window_747--NPDC021432.gbff,ctg9_342|[17952:18192](+)|window_747--NPDC021432.gbff,ctg9_343|[18249:21108](-)|window_747--NPDC021432.gbff,ctg9_344|[21254:22091](-)|window_747--NPDC021432.gbff,ctg9_345|[22300:22714](+)|window_747--NPDC021432.gbff,ctg9_346|[22762:23458](+)|window_747--NPDC021432.gbff,ctg9_347|[23680:25060](+)|window_747--NPDC021432.gbff,ctg9_348|[25070:25715](+)|window_747--NPDC021432.gbff,ctg9_349|[25724:26735](+)|window_747--NPDC021432.gbff,ctg9_350|[26807:27947](+)|window_747--NPDC021432.gbff,ctg9_351|[28040:29015](-)|window_747--NPDC021432.gbff,ctg9_352|[29011:29962](-)|window_747--NPDC021432.gbff,ctg9_353|[30000:31530](-)|window_747--NPDC021432.gbff,ctg9_354|[31535:33251](-)|window_747--NPDC021432.gbff,ctg9_355|[33724:35842](+)|window_747--NPDC021432.gbff,ctg9_356|[35990:37169](+)|window_747--NPDC021432.gbff,ctg9_357|[37189:37771](+)|window_747--NPDC021432.gbff,ctg9_358|[37994:38789](+)|window_747--NPDC021432.gbff,ctg9_359|[38882:39464](+)|window_747--NPDC021432.gbff,ctg9_360|[39488:47606](-)|window_747--NPDC021432.gbff,ctg9_361|[47769:49524](+)|window_747--NPDC021432.gbff,ctg9_362|[49531:50383](-)|window_747--NPDC021432.gbff,ctg9_363|[50394:51231](-)|window_747--NPDC021432.gbff,ctg9_364|[51270:52146](+)|window_747--NPDC021432.gbff,ctg9_365|[52240:54319](-)|window_747--NPDC021432.gbff,ctg9_366|[54549:55245](-)|window_747--NPDC021432.gbff,ctg9_367|[55440:56760](+)|window_747--NPDC021432.gbff,ctg9_368|[56802:57522](-)|window_747--NPDC021432.gbff,ctg9_369|[57597:58344](-)|window_747--NPDC021432.gbff,ctg9_370|[58741:59692](-)|window_747--NPDC021432.gbff,ctg9_371|[59935:60610](-)|window_747--NPDC021432.gbff,ctg9_372|[60756:61239](+)|window_747--NPDC021432.gbff,ctg9_373|[61304:61892](+)|window_747--NPDC021432.gbff,ctg9_374|[61891:62125](+)|window_747--NPDC021432.gbff,ctg9_375|[62178:62706](-)|window_747--NPDC021432.gbff
window_747--NPDC021432.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_591--GCA_006088715.1.gbff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1.gbff,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_328--GCA_008704495.1.gbff,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
window_202--NPDC001789.gbff,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
window_37--NPDC025395.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
window_254--GCA_014203475.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
window_738--GCA_008704795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
window_296--GCA_022698305.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
