Gene Names,ctg53_10|[9974:10853](-)|window_757--NPDC003691,ctg53_11|[11151:12387](-)|window_757--NPDC003691,ctg53_12|[12652:14032](+)|window_757--NPDC003691,ctg53_13|[14202:15270](+)|window_757--NPDC003691,ctg53_14|[15385:16648](-)|window_757--NPDC003691,ctg53_15|[16725:18165](-)|window_757--NPDC003691,ctg53_16|[18182:20927](+)|window_757--NPDC003691,ctg53_17|[21145:22537](+)|window_757--NPDC003691,ctg53_18|[22661:23306](+)|window_757--NPDC003691,ctg53_19|[23374:24382](+)|window_757--NPDC003691,ctg53_1|[1:526](-)|window_757--NPDC003691,ctg53_20|[24541:25681](+)|window_757--NPDC003691,ctg53_21|[25742:26702](+)|window_757--NPDC003691,ctg53_22|[26791:27766](-)|window_757--NPDC003691,ctg53_23|[27762:28803](-)|window_757--NPDC003691,ctg53_24|[28799:30323](-)|window_757--NPDC003691,ctg53_25|[30326:32045](-)|window_757--NPDC003691,ctg53_26|[32439:33597](+)|window_757--NPDC003691,ctg53_27|[33619:34204](+)|window_757--NPDC003691,ctg53_28|[34597:35488](+)|window_757--NPDC003691,ctg53_29|[35576:36455](-)|window_757--NPDC003691,ctg53_2|[591:957](-)|window_757--NPDC003691,ctg53_30|[36615:37473](+)|window_757--NPDC003691,ctg53_31|[37518:38046](-)|window_757--NPDC003691,ctg53_32|[38042:40412](-)|window_757--NPDC003691,ctg53_33|[40408:40633](-)|window_757--NPDC003691,ctg53_34|[40663:41038](+)|window_757--NPDC003691,ctg53_35|[41185:42589](+)|window_757--NPDC003691,ctg53_36|[42661:43753](+)|window_757--NPDC003691,ctg53_37|[43749:43986](+)|window_757--NPDC003691,ctg53_38|[44031:44916](+)|window_757--NPDC003691,ctg53_39|[44918:45455](+)|window_757--NPDC003691,ctg53_3|[1017:1899](+)|window_757--NPDC003691,ctg53_40|[45551:47144](+)|window_757--NPDC003691,ctg53_41|[47188:47446](+)|window_757--NPDC003691,ctg53_42|[47432:51686](+)|window_757--NPDC003691,ctg53_43|[51756:52788](+)|window_757--NPDC003691,ctg53_44|[52826:53828](+)|window_757--NPDC003691,ctg53_45|[53824:54628](+)|window_757--NPDC003691,ctg53_46|[54614:54851](-)|window_757--NPDC003691,ctg53_4|[2191:3211](-)|window_757--NPDC003691,ctg53_5|[3201:4125](-)|window_757--NPDC003691,ctg53_6|[4134:5481](-)|window_757--NPDC003691,ctg53_7|[6083:7484](+)|window_757--NPDC003691,ctg53_8|[7769:9083](+)|window_757--NPDC003691,ctg53_9|[9147:9984](-)|window_757--NPDC003691
window_106--GCA_900110755.1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
