,CP982_00425|[25:760](-)|window_738--GCA_008704795.1.gbff,CP982_00430|[1199:1993](-)|window_738--GCA_008704795.1.gbff,CP982_00435|[3523:4141](-)|window_738--GCA_008704795.1.gbff,CP982_00440|[5958:6492](-)|window_738--GCA_008704795.1.gbff,CP982_00445|[7257:7713](+)|window_738--GCA_008704795.1.gbff,CP982_00450|[9499:9910](+)|window_738--GCA_008704795.1.gbff,CP982_00455|[9822:10032](-)|window_738--GCA_008704795.1.gbff,CP982_00460|[9935:10787](+)|window_738--GCA_008704795.1.gbff,CP982_00465|[11166:11859](+)|window_738--GCA_008704795.1.gbff,CP982_00470|[12501:14349](-)|window_738--GCA_008704795.1.gbff,CP982_00475|[15089:15920](-)|window_738--GCA_008704795.1.gbff,CP982_00480|[16062:16348](-)|window_738--GCA_008704795.1.gbff,CP982_00485|[16809:17604](-)|window_738--GCA_008704795.1.gbff,CP982_00490|[17796:20661](+)|window_738--GCA_008704795.1.gbff,CP982_00495|[20696:21257](+)|window_738--GCA_008704795.1.gbff,CP982_00500|[21843:22584](-)|window_738--GCA_008704795.1.gbff,CP982_00505|[23021:23594](+)|window_738--GCA_008704795.1.gbff,CP982_00510|[23678:24035](-)|window_738--GCA_008704795.1.gbff,CP982_00515|[24112:24841](+)|window_738--GCA_008704795.1.gbff,CP982_00520|[25027:25099](-)|window_738--GCA_008704795.1.gbff,CP982_00525|[25109:25664](-)|window_738--GCA_008704795.1.gbff,CP982_00530|[25685:26849](-)|window_738--GCA_008704795.1.gbff,CP982_00535|[27040:29185](-)|window_738--GCA_008704795.1.gbff,CP982_00540|[30000:31716](+)|window_738--GCA_008704795.1.gbff,CP982_00545|[31719:33255](+)|window_738--GCA_008704795.1.gbff,CP982_00550|[33350:34301](+)|window_738--GCA_008704795.1.gbff,CP982_00555|[34297:35272](+)|window_738--GCA_008704795.1.gbff,CP982_00560|[35330:36290](-)|window_738--GCA_008704795.1.gbff,CP982_00565|[36367:37507](-)|window_738--GCA_008704795.1.gbff,CP982_00570|[37558:38566](-)|window_738--GCA_008704795.1.gbff,CP982_00575|[38578:39223](-)|window_738--GCA_008704795.1.gbff,CP982_00580|[39328:40702](-)|window_738--GCA_008704795.1.gbff,CP982_00585|[41213:41552](-)|window_738--GCA_008704795.1.gbff,CP982_00590|[41723:42626](-)|window_738--GCA_008704795.1.gbff,CP982_00595|[43118:44099](-)|window_738--GCA_008704795.1.gbff,CP982_00600|[44095:45016](-)|window_738--GCA_008704795.1.gbff,CP982_00605|[45105:46059](+)|window_738--GCA_008704795.1.gbff,CP982_00610|[46123:47221](-)|window_738--GCA_008704795.1.gbff,CP982_00615|[48346:48784](+)|window_738--GCA_008704795.1.gbff,CP982_00620|[48903:49137](-)|window_738--GCA_008704795.1.gbff,CP982_00625|[49136:49721](-)|window_738--GCA_008704795.1.gbff,CP982_00630|[49872:50550](+)|window_738--GCA_008704795.1.gbff,CP982_00640|[51512:52067](+)|window_738--GCA_008704795.1.gbff,CP982_00645|[52103:53525](-)|window_738--GCA_008704795.1.gbff,CP982_00650|[53841:54939](+)|window_738--GCA_008704795.1.gbff,CP982_00655|[54982:55372](-)|window_738--GCA_008704795.1.gbff,CP982_00660|[55461:56388](+)|window_738--GCA_008704795.1.gbff,CP982_00665|[56485:57469](+)|window_738--GCA_008704795.1.gbff,CP982_00670|[57516:58458](-)|window_738--GCA_008704795.1.gbff,CP982_00675|[58712:59873](+)|window_738--GCA_008704795.1.gbff,CP982_00680|[59883:60762](-)|window_738--GCA_008704795.1.gbff,CP982_00685|[60943:62323](+)|window_738--GCA_008704795.1.gbff
window_254--GCA_014203475.1.gbff,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_738--GCA_008704795.1.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_748--GCA_002556545.1.gbff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
window_747--NPDC021432.gbff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
window_202--NPDC001789.gbff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
window_328--GCA_008704495.1.gbff,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
window_128--NPDC015242.gbff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_377--NPDC002055.gbff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1.gbff,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259.gbff,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1.gbff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_296--GCA_022698305.1.gbff,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
