Gene Names,QZH56_31495|[605:2705](+)|window_484--GCA_030490905.1,QZH56_31500|[2800:4690](+)|window_484--GCA_030490905.1,QZH56_31505|[4689:6891](+)|window_484--GCA_030490905.1,QZH56_31510|[6895:7879](+)|window_484--GCA_030490905.1,QZH56_31515|[8164:9217](-)|window_484--GCA_030490905.1,QZH56_31520|[9267:9846](-)|window_484--GCA_030490905.1,QZH56_31525|[9842:10166](-)|window_484--GCA_030490905.1,QZH56_31530|[10227:10428](+)|window_484--GCA_030490905.1,QZH56_31535|[10453:11164](-)|window_484--GCA_030490905.1,QZH56_31540|[11562:12684](+)|window_484--GCA_030490905.1,QZH56_31545|[12713:13559](+)|window_484--GCA_030490905.1,QZH56_31550|[13581:14604](-)|window_484--GCA_030490905.1,QZH56_31555|[14687:15140](+)|window_484--GCA_030490905.1,QZH56_31560|[15187:18673](-)|window_484--GCA_030490905.1,QZH56_31565|[19061:21176](+)|window_484--GCA_030490905.1,QZH56_31570|[21365:22763](+)|window_484--GCA_030490905.1,QZH56_31575|[22826:23471](+)|window_484--GCA_030490905.1,QZH56_31580|[23523:24528](+)|window_484--GCA_030490905.1,QZH56_31585|[24561:25701](+)|window_484--GCA_030490905.1,QZH56_31590|[25717:26677](+)|window_484--GCA_030490905.1,QZH56_31595|[26731:27913](-)|window_484--GCA_030490905.1,QZH56_31600|[28026:29001](-)|window_484--GCA_030490905.1,QZH56_31605|[28997:29948](-)|window_484--GCA_030490905.1,QZH56_31610|[30000:31533](-)|window_484--GCA_030490905.1,QZH56_31615|[31532:33251](-)|window_484--GCA_030490905.1,QZH56_31620|[33600:34260](+)|window_484--GCA_030490905.1,QZH56_31625|[34342:34558](-)|window_484--GCA_030490905.1,QZH56_31630|[34851:36141](+)|window_484--GCA_030490905.1,QZH56_31635|[36137:39386](+)|window_484--GCA_030490905.1,QZH56_31640|[39382:46585](+)|window_484--GCA_030490905.1,QZH56_31645|[46644:47409](+)|window_484--GCA_030490905.1,QZH56_31650|[47691:48561](-)|window_484--GCA_030490905.1,QZH56_31655|[48679:49252](+)|window_484--GCA_030490905.1,QZH56_31660|[49569:51414](+)|window_484--GCA_030490905.1,QZH56_31665|[51445:51874](+)|window_484--GCA_030490905.1,QZH56_31670|[51889:52297](-)|window_484--GCA_030490905.1,QZH56_31675|[52354:52981](+)|window_484--GCA_030490905.1,QZH56_31680|[53010:53904](-)|window_484--GCA_030490905.1,QZH56_31685|[54017:54911](-)|window_484--GCA_030490905.1,QZH56_31690|[55040:55880](+)|window_484--GCA_030490905.1,QZH56_31695|[55884:56259](-)|window_484--GCA_030490905.1,QZH56_31700|[56330:56768](-)|window_484--GCA_030490905.1,QZH56_31705|[57033:58890](-)|window_484--GCA_030490905.1,QZH56_31710|[58886:60998](-)|window_484--GCA_030490905.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
