Gene Names,ctg14_100|[27609:28041](+)|window_601--NPDC045376,ctg14_101|[28207:28732](+)|window_601--NPDC045376,ctg14_102|[28907:29600](-)|window_601--NPDC045376,ctg14_103|[30000:31716](+)|window_601--NPDC045376,ctg14_104|[31718:33245](+)|window_601--NPDC045376,ctg14_105|[33329:34280](+)|window_601--NPDC045376,ctg14_106|[34276:35251](+)|window_601--NPDC045376,ctg14_107|[35364:36546](+)|window_601--NPDC045376,ctg14_108|[36597:37737](-)|window_601--NPDC045376,ctg14_109|[37776:38781](-)|window_601--NPDC045376,ctg14_110|[38825:39470](-)|window_601--NPDC045376,ctg14_111|[39496:40873](-)|window_601--NPDC045376,ctg14_112|[41044:43117](-)|window_601--NPDC045376,ctg14_113|[43955:44408](-)|window_601--NPDC045376,ctg14_114|[44528:45500](+)|window_601--NPDC045376,ctg14_115|[45586:46474](-)|window_601--NPDC045376,ctg14_116|[46488:46704](-)|window_601--NPDC045376,ctg14_117|[46990:47710](+)|window_601--NPDC045376,ctg14_118|[47884:48112](+)|window_601--NPDC045376,ctg14_119|[48124:48469](+)|window_601--NPDC045376,ctg14_120|[48536:48905](-)|window_601--NPDC045376,ctg14_121|[49060:49654](-)|window_601--NPDC045376,ctg14_122|[49650:49986](-)|window_601--NPDC045376,ctg14_123|[50063:50729](-)|window_601--NPDC045376,ctg14_124|[50725:51610](-)|window_601--NPDC045376,ctg14_125|[51849:52617](-)|window_601--NPDC045376,ctg14_126|[52665:53451](-)|window_601--NPDC045376,ctg14_127|[53652:54096](+)|window_601--NPDC045376,ctg14_128|[54164:55121](-)|window_601--NPDC045376,ctg14_129|[55282:56695](-)|window_601--NPDC045376,ctg14_130|[57080:57875](+)|window_601--NPDC045376,ctg14_131|[57921:58644](+)|window_601--NPDC045376,ctg14_132|[58910:59714](-)|window_601--NPDC045376,ctg14_133|[60208:60787](+)|window_601--NPDC045376,ctg14_134|[60885:61812](-)|window_601--NPDC045376,ctg14_135|[61808:62243](-)|window_601--NPDC045376,ctg14_136|[62239:63232](-)|window_601--NPDC045376,ctg14_76|[250:1822](+)|window_601--NPDC045376,ctg14_77|[1898:3290](+)|window_601--NPDC045376,ctg14_78|[3404:4793](+)|window_601--NPDC045376,ctg14_79|[4826:5198](-)|window_601--NPDC045376,ctg14_80|[5197:5431](-)|window_601--NPDC045376,ctg14_81|[5484:6000](-)|window_601--NPDC045376,ctg14_82|[6461:7097](+)|window_601--NPDC045376,ctg14_83|[7198:9094](+)|window_601--NPDC045376,ctg14_84|[9242:10418](+)|window_601--NPDC045376,ctg14_85|[10643:11090](+)|window_601--NPDC045376,ctg14_86|[11079:14166](-)|window_601--NPDC045376,ctg14_87|[14162:15335](-)|window_601--NPDC045376,ctg14_88|[15483:16299](-)|window_601--NPDC045376,ctg14_89|[16525:17152](-)|window_601--NPDC045376,ctg14_90|[17228:17636](+)|window_601--NPDC045376,ctg14_91|[17739:18228](+)|window_601--NPDC045376,ctg14_92|[18258:18801](-)|window_601--NPDC045376,ctg14_93|[18879:19452](-)|window_601--NPDC045376,ctg14_94|[19562:20426](+)|window_601--NPDC045376,ctg14_95|[20495:21644](-)|window_601--NPDC045376,ctg14_96|[21944:23225](+)|window_601--NPDC045376,ctg14_97|[23520:24558](-)|window_601--NPDC045376,ctg14_98|[24557:25175](-)|window_601--NPDC045376,ctg14_99|[25190:27530](-)|window_601--NPDC045376
window_106--GCA_900110755.1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
window_225--NPDC025244,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
