Gene Names,ctg6_10|[10781:12158](-)|window_236--NPDC045608,ctg6_11|[12312:14505](-)|window_236--NPDC045608,ctg6_12|[15036:18459](+)|window_236--NPDC045608,ctg6_13|[19471:19960](+)|window_236--NPDC045608,ctg6_14|[20087:20540](-)|window_236--NPDC045608,ctg6_15|[20674:21646](+)|window_236--NPDC045608,ctg6_16|[21733:22561](-)|window_236--NPDC045608,ctg6_17|[22651:22825](-)|window_236--NPDC045608,ctg6_18|[23144:23864](+)|window_236--NPDC045608,ctg6_19|[24036:24264](+)|window_236--NPDC045608,ctg6_1|[178:868](-)|window_236--NPDC045608,ctg6_20|[24274:24619](+)|window_236--NPDC045608,ctg6_21|[24694:25063](-)|window_236--NPDC045608,ctg6_22|[25255:26734](-)|window_236--NPDC045608,ctg6_23|[27137:27731](-)|window_236--NPDC045608,ctg6_24|[27727:28063](-)|window_236--NPDC045608,ctg6_25|[28140:28806](-)|window_236--NPDC045608,ctg6_26|[28802:29687](-)|window_236--NPDC045608,ctg6_27|[29928:30696](-)|window_236--NPDC045608,ctg6_28|[30744:31530](-)|window_236--NPDC045608,ctg6_29|[31731:32175](+)|window_236--NPDC045608,ctg6_2|[1313:3029](+)|window_236--NPDC045608,ctg6_30|[32243:33200](-)|window_236--NPDC045608,ctg6_3|[3031:4558](+)|window_236--NPDC045608,ctg6_4|[4621:5572](+)|window_236--NPDC045608,ctg6_5|[5568:6543](+)|window_236--NPDC045608,ctg6_6|[6567:7839](+)|window_236--NPDC045608,ctg6_7|[7883:9023](-)|window_236--NPDC045608,ctg6_8|[9062:10067](-)|window_236--NPDC045608,ctg6_9|[10119:10764](-)|window_236--NPDC045608
window_106--GCA_900110755.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
window_120--NPDC004732,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_126--GCA_014649235.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1
window_136--NPDC007153,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_159--GCA_005938145.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1
window_202--NPDC001789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_225--NPDC025244,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
window_236--NPDC045608,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_237--NPDC001922,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_254--GCA_014203475.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_267--NPDC046215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_268--NPDC025403,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
window_296--GCA_022698305.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_320--NPDC004259,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
window_324--NPDC006537,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_328--GCA_008704495.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
