,GCM10018793_61630|[539:1490](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61640|[1563:3090](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61650|[3089:4805](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61660|[5108:6308](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61670|[6486:7746](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61680|[8020:9391](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61690|[9666:11796](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61700|[12242:13436](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61710|[13672:14905](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61720|[14920:15247](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61730|[15338:16112](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61740|[16385:16568](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61750|[16578:16722](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61760|[16715:17558](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61770|[17608:17797](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61780|[17793:18174](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61790|[18253:19444](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61800|[19690:20110](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61810|[20102:21191](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61820|[21187:21595](-)|window_510--GCA_014656295.1.gbff,GCM10018793_61830|[21673:22165](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61840|[22239:22653](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61850|[23220:25527](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61860|[26288:29981](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61870|[30472:31138](+)|window_510--GCA_014656295.1.gbff,GCM10018793_61880|[31323:32883](+)|window_510--GCA_014656295.1.gbff
window_510--GCA_014656295.1.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_9--GCA_036227125.1.gbff,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_534--NPDC031945.gbff,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1.gbff,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1.gbff,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_734--NPDC020840.gbff,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153.gbff,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837.gbff,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833.gbff,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836.gbff,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
