Gene Names,ctg10_130|[154:829](-)|window_128--NPDC015242,ctg10_131|[977:1706](-)|window_128--NPDC015242,ctg10_132|[1782:2160](+)|window_128--NPDC015242,ctg10_133|[2265:2847](+)|window_128--NPDC015242,ctg10_134|[3064:4063](+)|window_128--NPDC015242,ctg10_135|[4110:4986](-)|window_128--NPDC015242,ctg10_136|[5000:6344](-)|window_128--NPDC015242,ctg10_137|[6445:7864](-)|window_128--NPDC015242,ctg10_138|[8237:10514](-)|window_128--NPDC015242,ctg10_139|[10731:11112](+)|window_128--NPDC015242,ctg10_140|[11255:12017](-)|window_128--NPDC015242,ctg10_141|[12211:12994](+)|window_128--NPDC015242,ctg10_142|[13096:13741](+)|window_128--NPDC015242,ctg10_143|[13749:16446](+)|window_128--NPDC015242,ctg10_144|[16442:17414](+)|window_128--NPDC015242,ctg10_145|[17410:18427](+)|window_128--NPDC015242,ctg10_146|[18441:18966](+)|window_128--NPDC015242,ctg10_147|[18951:19590](-)|window_128--NPDC015242,ctg10_148|[20061:21432](+)|window_128--NPDC015242,ctg10_149|[21523:21721](-)|window_128--NPDC015242,ctg10_150|[22211:23162](+)|window_128--NPDC015242,ctg10_151|[23327:24596](+)|window_128--NPDC015242,ctg10_152|[24633:25851](+)|window_128--NPDC015242,ctg10_153|[25932:26577](+)|window_128--NPDC015242,ctg10_154|[26653:27838](-)|window_128--NPDC015242,ctg10_155|[27975:28950](-)|window_128--NPDC015242,ctg10_156|[28946:29909](-)|window_128--NPDC015242,ctg10_157|[30000:31524](-)|window_128--NPDC015242,ctg10_158|[31526:33242](-)|window_128--NPDC015242,ctg10_159|[33533:34736](+)|window_128--NPDC015242,ctg10_160|[35024:36047](-)|window_128--NPDC015242,ctg10_161|[36027:37374](-)|window_128--NPDC015242,ctg10_162|[37611:39975](-)|window_128--NPDC015242,ctg10_163|[40950:41568](+)|window_128--NPDC015242,ctg10_164|[41560:42505](+)|window_128--NPDC015242,ctg10_165|[42550:46354](-)|window_128--NPDC015242,ctg10_166|[46684:46852](+)|window_128--NPDC015242,ctg10_167|[46853:47858](+)|window_128--NPDC015242,ctg10_168|[48043:49666](+)|window_128--NPDC015242,ctg10_169|[49863:51549](+)|window_128--NPDC015242,ctg10_170|[51691:51862](-)|window_128--NPDC015242,ctg10_171|[52106:52751](-)|window_128--NPDC015242,ctg10_172|[52941:54087](+)|window_128--NPDC015242,ctg10_173|[54186:54444](-)|window_128--NPDC015242,ctg10_174|[54761:55454](-)|window_128--NPDC015242,ctg10_175|[55458:56679](-)|window_128--NPDC015242,ctg10_176|[56694:57612](-)|window_128--NPDC015242,ctg10_177|[57762:58353](-)|window_128--NPDC015242,ctg10_178|[58600:59935](+)|window_128--NPDC015242,ctg10_179|[59931:60591](+)|window_128--NPDC015242,ctg10_180|[60774:61572](-)|window_128--NPDC015242,ctg10_181|[61651:62209](-)|window_128--NPDC015242,ctg10_182|[62304:63045](+)|window_128--NPDC015242
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
window_267--NPDC046215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
