,SAMN04487983_100921|[285:1785](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100922|[2034:2865](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100923|[2861:3065](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100924|[3234:3360](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100925|[3887:4373](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100926|[4768:5014](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100927|[5143:5647](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100928|[5716:6373](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100929|[6652:7528](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100930|[7642:8281](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100931|[8273:8549](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100932|[8771:9182](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100934|[11343:11601](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100935|[11597:11870](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100936|[12216:16107](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100937|[16103:19004](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100938|[19334:20645](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100939|[21040:22087](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100940|[22083:23901](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100941|[24083:25433](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100942|[25432:27634](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100943|[28212:28752](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100944|[28956:29931](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100945|[30000:31554](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100946|[31553:33278](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100947|[33561:34950](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100948|[35089:36568](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100949|[36567:36819](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100950|[37127:38162](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100951|[38158:38485](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100952|[38474:39269](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100953|[39265:39799](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100954|[39801:40875](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100955|[40960:41806](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100956|[41792:43073](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100957|[43098:43701](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100958|[43802:45359](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100959|[45627:47007](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100960|[47056:48055](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100961|[48051:48945](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100962|[49039:49825](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100963|[49903:50731](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100964|[51347:52718](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100965|[52699:53275](+)|window_106--GCA_900110755.1.gbff,SAMN04487983_100966|[53382:54240](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100967|[54275:55043](-)|window_106--GCA_900110755.1.gbff,SAMN04487983_100968|[55078:58969](-)|window_106--GCA_900110755.1.gbff
window_106--GCA_900110755.1.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_9--GCA_036227125.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_815--NPDC057833.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_430--NPDC057836.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_455--NPDC057837.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_807--GCA_003933965.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
window_136--NPDC007153.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
