Gene Names,GCM10010218_38630|[1119:3888](+)|window_385--GCA_014654785.1,GCM10010218_38640|[3903:4791](-)|window_385--GCA_014654785.1,GCM10010218_38650|[4883:5765](+)|window_385--GCA_014654785.1,GCM10010218_38660|[5761:6676](+)|window_385--GCA_014654785.1,GCM10010218_38670|[6731:7217](+)|window_385--GCA_014654785.1,GCM10010218_38680|[7231:7699](-)|window_385--GCA_014654785.1,GCM10010218_38690|[7817:8285](+)|window_385--GCA_014654785.1,GCM10010218_38700|[8247:8796](-)|window_385--GCA_014654785.1,GCM10010218_38710|[8801:10211](-)|window_385--GCA_014654785.1,GCM10010218_38720|[10207:11212](-)|window_385--GCA_014654785.1,GCM10010218_38730|[11195:13778](-)|window_385--GCA_014654785.1,GCM10010218_38740|[13774:14806](-)|window_385--GCA_014654785.1,GCM10010218_38750|[14802:16671](-)|window_385--GCA_014654785.1,GCM10010218_38760|[16657:18526](-)|window_385--GCA_014654785.1,GCM10010218_38770|[18621:18774](-)|window_385--GCA_014654785.1,GCM10010218_38780|[19081:20260](+)|window_385--GCA_014654785.1,GCM10010218_38790|[20256:21648](+)|window_385--GCA_014654785.1,GCM10010218_38800|[21650:22319](-)|window_385--GCA_014654785.1,GCM10010218_38810|[22302:23043](-)|window_385--GCA_014654785.1,GCM10010218_38820|[23369:24122](+)|window_385--GCA_014654785.1,GCM10010218_38830|[24334:26311](+)|window_385--GCA_014654785.1,GCM10010218_38840|[26421:26709](+)|window_385--GCA_014654785.1,GCM10010218_38850|[26768:27956](-)|window_385--GCA_014654785.1,GCM10010218_38860|[28022:28997](-)|window_385--GCA_014654785.1,GCM10010218_38870|[28993:29944](-)|window_385--GCA_014654785.1,GCM10010218_38880|[30000:31512](-)|window_385--GCA_014654785.1,GCM10010218_38890|[31514:33233](-)|window_385--GCA_014654785.1,GCM10010218_38900|[33288:34758](-)|window_385--GCA_014654785.1,GCM10010218_38910|[34839:35430](-)|window_385--GCA_014654785.1,GCM10010218_38920|[35604:36660](+)|window_385--GCA_014654785.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
