window_236--NPDC045608: Wrote 30 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_328--GCA_008704495.1: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 4 pseudogenes
window_423--NPDC052115: Wrote 60 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_738--GCA_008704795.1: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 7 pseudogenes
window_385--GCA_014654785.1: Wrote 30 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_37--NPDC025395: Wrote 54 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_50--NPDC052114: Wrote 60 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_159--GCA_005938145.1: Wrote 45 protein sequences | Skipped 0 with no translation | Skipped 5 pseudogenes
window_653--NPDC059887: Wrote 42 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_720--NPDC032246: Wrote 62 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_268--NPDC025403: Wrote 39 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_790--NPDC053754: Wrote 36 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_533--NPDC007986: Wrote 60 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_64--NPDC045938: Wrote 62 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_741--GCA_044326745.1: Wrote 45 protein sequences | Skipped 0 with no translation | Skipped 3 pseudogenes
window_330--NPDC006439: Wrote 61 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_680--GCA_014650495.1: Wrote 30 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_657--NPDC053751: Wrote 34 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_495--GCA_044326755.1: Wrote 45 protein sequences | Skipped 0 with no translation | Skipped 3 pseudogenes
window_267--NPDC046215: Wrote 58 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_38--NPDC057796: Wrote 65 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_439--NPDC041068: Wrote 50 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_136--NPDC007153: Wrote 47 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_757--NPDC003691: Wrote 46 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
window_690--NPDC020656: Wrote 42 protein sequences | Skipped 0 with no translation | Skipped 0 pseudogenes
