Gene Names,ctg1_331|[139:898](-)|window_439--NPDC041068,ctg1_332|[922:1144](-)|window_439--NPDC041068,ctg1_333|[1433:2015](+)|window_439--NPDC041068,ctg1_334|[2413:3424](-)|window_439--NPDC041068,ctg1_335|[4055:4343](-)|window_439--NPDC041068,ctg1_336|[4515:4938](-)|window_439--NPDC041068,ctg1_337|[5153:6488](+)|window_439--NPDC041068,ctg1_338|[6834:7254](+)|window_439--NPDC041068,ctg1_339|[7368:9789](-)|window_439--NPDC041068,ctg1_340|[9785:10478](-)|window_439--NPDC041068,ctg1_341|[10699:12031](+)|window_439--NPDC041068,ctg1_342|[12027:12714](+)|window_439--NPDC041068,ctg1_343|[12716:14114](+)|window_439--NPDC041068,ctg1_344|[14247:15084](+)|window_439--NPDC041068,ctg1_345|[15130:16510](-)|window_439--NPDC041068,ctg1_346|[16623:17901](+)|window_439--NPDC041068,ctg1_347|[17897:18440](+)|window_439--NPDC041068,ctg1_348|[18283:19081](-)|window_439--NPDC041068,ctg1_349|[19077:19737](-)|window_439--NPDC041068,ctg1_350|[19736:20474](-)|window_439--NPDC041068,ctg1_351|[20597:21359](+)|window_439--NPDC041068,ctg1_352|[21364:22477](+)|window_439--NPDC041068,ctg1_353|[22451:23516](-)|window_439--NPDC041068,ctg1_354|[23731:25105](+)|window_439--NPDC041068,ctg1_355|[25166:25811](+)|window_439--NPDC041068,ctg1_356|[25861:26869](+)|window_439--NPDC041068,ctg1_357|[26945:28085](+)|window_439--NPDC041068,ctg1_358|[28136:29111](-)|window_439--NPDC041068,ctg1_359|[29107:30058](-)|window_439--NPDC041068,ctg1_360|[30000:31596](-)|window_439--NPDC041068,ctg1_361|[31599:33315](-)|window_439--NPDC041068,ctg1_362|[33865:35974](+)|window_439--NPDC041068,ctg1_363|[36134:37298](+)|window_439--NPDC041068,ctg1_364|[37355:37817](+)|window_439--NPDC041068,ctg1_365|[37992:38787](+)|window_439--NPDC041068,ctg1_366|[38823:39807](-)|window_439--NPDC041068,ctg1_367|[39799:40798](-)|window_439--NPDC041068,ctg1_368|[41292:45240](+)|window_439--NPDC041068,ctg1_369|[45318:46638](-)|window_439--NPDC041068,ctg1_370|[46741:47764](-)|window_439--NPDC041068,ctg1_371|[48516:49353](+)|window_439--NPDC041068,ctg1_372|[49390:50065](+)|window_439--NPDC041068,ctg1_373|[50030:51719](+)|window_439--NPDC041068,ctg1_374|[51721:53227](+)|window_439--NPDC041068,ctg1_375|[53223:54204](+)|window_439--NPDC041068,ctg1_376|[54200:54449](+)|window_439--NPDC041068,ctg1_377|[54445:55414](+)|window_439--NPDC041068,ctg1_378|[55440:56316](-)|window_439--NPDC041068,ctg1_379|[56441:58592](+)|window_439--NPDC041068,ctg1_380|[58595:62591](-)|window_439--NPDC041068
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
