Gene Names,ctg97_10|[8180:8543](+)|window_225--NPDC025244,ctg97_11|[8539:9133](+)|window_225--NPDC025244,ctg97_12|[9288:9657](+)|window_225--NPDC025244,ctg97_13|[9724:10069](-)|window_225--NPDC025244,ctg97_14|[10081:10249](-)|window_225--NPDC025244,ctg97_15|[10483:11203](-)|window_225--NPDC025244,ctg97_16|[11241:11547](+)|window_225--NPDC025244,ctg97_17|[11531:11705](+)|window_225--NPDC025244,ctg97_18|[11647:12607](+)|window_225--NPDC025244,ctg97_19|[12693:13449](-)|window_225--NPDC025244,ctg97_1|[2:272](-)|window_225--NPDC025244,ctg97_20|[13785:14238](+)|window_225--NPDC025244,ctg97_21|[14170:15190](-)|window_225--NPDC025244,ctg97_22|[15323:17141](+)|window_225--NPDC025244,ctg97_23|[17312:18689](+)|window_225--NPDC025244,ctg97_24|[18883:19360](+)|window_225--NPDC025244,ctg97_25|[19408:20413](+)|window_225--NPDC025244,ctg97_26|[20452:21592](+)|window_225--NPDC025244,ctg97_27|[21643:22915](-)|window_225--NPDC025244,ctg97_28|[22938:23913](-)|window_225--NPDC025244,ctg97_29|[23909:24860](-)|window_225--NPDC025244,ctg97_2|[318:1113](-)|window_225--NPDC025244,ctg97_30|[24944:26471](-)|window_225--NPDC025244,ctg97_31|[26473:28597](-)|window_225--NPDC025244,ctg97_32|[28565:28739](-)|window_225--NPDC025244,ctg97_33|[28751:29282](+)|window_225--NPDC025244,ctg97_3|[1081:1519](-)|window_225--NPDC025244,ctg97_4|[1519:2911](+)|window_225--NPDC025244,ctg97_5|[3072:4029](+)|window_225--NPDC025244,ctg97_6|[4097:4541](-)|window_225--NPDC025244,ctg97_7|[4655:6446](-)|window_225--NPDC025244,ctg97_8|[6649:7468](+)|window_225--NPDC025244,ctg97_9|[7464:8130](+)|window_225--NPDC025244
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_236--NPDC045608,1,1,1,1,1,1,0,1,1,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1
window_237--NPDC001922,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_320--NPDC004259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_324--NPDC006537,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_328--GCA_008704495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
window_330--NPDC006439,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_332--NPDC053390,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
window_338--NPDC023457,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_343--GCA_039524935.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_352--NPDC049867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_359--NPDC005853,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_36--NPDC057840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
window_37--NPDC025395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_377--NPDC002055,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_38--NPDC057796,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
window_385--GCA_014654785.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_389--NPDC053753,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_423--NPDC052115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_430--NPDC057836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
window_438--NPDC023046,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_439--NPDC041068,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_448--NPDC007050,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_455--NPDC057837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
window_484--GCA_030490905.1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
window_495--GCA_044326755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0
window_496--NPDC018347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_50--NPDC052114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_502--NPDC012751,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_510--GCA_014656295.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
window_512--NPDC051636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_533--NPDC007986,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_534--NPDC031945,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
window_535--NPDC024387,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_538--NPDC021725,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_571--GCA_008042075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_584--NPDC021736,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_601--NPDC045376,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_64--NPDC045938,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_644--NPDC021450,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
window_653--NPDC059887,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
window_657--NPDC053751,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
window_68--NPDC050504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_680--GCA_014650495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
window_690--NPDC020656,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
