Gene Names,ctg9_100|[36597:37737](-)|window_720--NPDC032246,ctg9_101|[37776:38781](-)|window_720--NPDC032246,ctg9_102|[38829:39474](-)|window_720--NPDC032246,ctg9_103|[39500:40877](-)|window_720--NPDC032246,ctg9_104|[41048:43121](-)|window_720--NPDC032246,ctg9_105|[43951:44404](-)|window_720--NPDC032246,ctg9_106|[44524:45496](+)|window_720--NPDC032246,ctg9_107|[45582:46470](-)|window_720--NPDC032246,ctg9_108|[46484:46700](-)|window_720--NPDC032246,ctg9_109|[46986:47706](+)|window_720--NPDC032246,ctg9_110|[47880:48108](+)|window_720--NPDC032246,ctg9_111|[48120:48465](+)|window_720--NPDC032246,ctg9_112|[48532:48901](-)|window_720--NPDC032246,ctg9_113|[49056:49650](-)|window_720--NPDC032246,ctg9_114|[49646:49982](-)|window_720--NPDC032246,ctg9_115|[50059:50725](-)|window_720--NPDC032246,ctg9_116|[50721:51579](-)|window_720--NPDC032246,ctg9_117|[51845:52613](-)|window_720--NPDC032246,ctg9_118|[52661:53447](-)|window_720--NPDC032246,ctg9_119|[53648:54092](+)|window_720--NPDC032246,ctg9_120|[54160:55117](-)|window_720--NPDC032246,ctg9_121|[55278:56691](-)|window_720--NPDC032246,ctg9_122|[57076:57871](+)|window_720--NPDC032246,ctg9_123|[57917:58412](+)|window_720--NPDC032246,ctg9_124|[58678:59482](-)|window_720--NPDC032246,ctg9_125|[59976:60555](+)|window_720--NPDC032246,ctg9_126|[60653:61580](-)|window_720--NPDC032246,ctg9_127|[61576:62011](-)|window_720--NPDC032246,ctg9_128|[62007:63000](-)|window_720--NPDC032246,ctg9_67|[183:1755](+)|window_720--NPDC032246,ctg9_68|[1831:3223](+)|window_720--NPDC032246,ctg9_69|[3337:4726](+)|window_720--NPDC032246,ctg9_70|[4759:5131](-)|window_720--NPDC032246,ctg9_71|[5130:5364](-)|window_720--NPDC032246,ctg9_72|[5417:5957](-)|window_720--NPDC032246,ctg9_73|[6045:6324](+)|window_720--NPDC032246,ctg9_74|[6412:7048](+)|window_720--NPDC032246,ctg9_75|[7149:9045](+)|window_720--NPDC032246,ctg9_76|[9193:10369](+)|window_720--NPDC032246,ctg9_77|[10594:11041](+)|window_720--NPDC032246,ctg9_78|[11030:14117](-)|window_720--NPDC032246,ctg9_79|[14113:15280](-)|window_720--NPDC032246,ctg9_80|[15434:16250](-)|window_720--NPDC032246,ctg9_81|[16475:17102](-)|window_720--NPDC032246,ctg9_82|[17178:17586](+)|window_720--NPDC032246,ctg9_83|[17689:18178](+)|window_720--NPDC032246,ctg9_84|[18208:18751](-)|window_720--NPDC032246,ctg9_85|[18829:19402](-)|window_720--NPDC032246,ctg9_86|[19512:20376](+)|window_720--NPDC032246,ctg9_87|[20445:21612](-)|window_720--NPDC032246,ctg9_88|[21913:23194](+)|window_720--NPDC032246,ctg9_89|[23520:24558](-)|window_720--NPDC032246,ctg9_90|[24557:25175](-)|window_720--NPDC032246,ctg9_91|[25190:27530](-)|window_720--NPDC032246,ctg9_92|[27609:28041](+)|window_720--NPDC032246,ctg9_93|[28207:28732](+)|window_720--NPDC032246,ctg9_94|[28907:29600](-)|window_720--NPDC032246,ctg9_95|[30000:31716](+)|window_720--NPDC032246,ctg9_96|[31718:33245](+)|window_720--NPDC032246,ctg9_97|[33329:34280](+)|window_720--NPDC032246,ctg9_98|[34276:35251](+)|window_720--NPDC032246,ctg9_99|[35364:36546](+)|window_720--NPDC032246
window_106--GCA_900110755.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
window_120--NPDC004732,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
window_126--GCA_014649235.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
window_128--NPDC015242,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1
window_136--NPDC007153,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
window_159--GCA_005938145.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
window_202--NPDC001789,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
window_225--NPDC025244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
window_236--NPDC045608,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
window_237--NPDC001922,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1
window_254--GCA_014203475.1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
window_267--NPDC046215,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
