Gene Names,ctg45_24|[244:1237](+)|window_790--NPDC053754,ctg45_25|[1233:1668](+)|window_790--NPDC053754,ctg45_26|[1664:2591](+)|window_790--NPDC053754,ctg45_27|[2689:3268](-)|window_790--NPDC053754,ctg45_28|[3486:3732](+)|window_790--NPDC053754,ctg45_29|[3732:4566](+)|window_790--NPDC053754,ctg45_30|[4832:5327](-)|window_790--NPDC053754,ctg45_31|[5373:6168](-)|window_790--NPDC053754,ctg45_32|[6415:7966](+)|window_790--NPDC053754,ctg45_33|[8127:9084](+)|window_790--NPDC053754,ctg45_34|[9152:9596](-)|window_790--NPDC053754,ctg45_35|[9797:10583](+)|window_790--NPDC053754,ctg45_36|[10631:11399](+)|window_790--NPDC053754,ctg45_37|[11665:12523](+)|window_790--NPDC053754,ctg45_38|[12519:13185](+)|window_790--NPDC053754,ctg45_39|[13235:13598](+)|window_790--NPDC053754,ctg45_40|[13594:14188](+)|window_790--NPDC053754,ctg45_41|[14343:14712](+)|window_790--NPDC053754,ctg45_42|[14779:15124](-)|window_790--NPDC053754,ctg45_43|[15136:15364](-)|window_790--NPDC053754,ctg45_44|[15538:16258](-)|window_790--NPDC053754,ctg45_45|[16544:16760](+)|window_790--NPDC053754,ctg45_46|[16816:17662](+)|window_790--NPDC053754,ctg45_47|[17748:18720](-)|window_790--NPDC053754,ctg45_48|[18870:19293](+)|window_790--NPDC053754,ctg45_49|[20130:22203](+)|window_790--NPDC053754,ctg45_50|[22374:23751](+)|window_790--NPDC053754,ctg45_51|[23777:24422](+)|window_790--NPDC053754,ctg45_52|[24470:25475](+)|window_790--NPDC053754,ctg45_53|[25514:26654](+)|window_790--NPDC053754,ctg45_54|[26699:27881](-)|window_790--NPDC053754,ctg45_55|[27994:28969](-)|window_790--NPDC053754,ctg45_56|[28965:29916](-)|window_790--NPDC053754,ctg45_57|[30000:31527](-)|window_790--NPDC053754,ctg45_58|[31529:33245](-)|window_790--NPDC053754,ctg45_59|[33645:34338](+)|window_790--NPDC053754
window_106--GCA_900110755.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
window_225--NPDC025244,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
