Gene Names,ctg54_10|[14732:15911](+)|window_502--NPDC012751,ctg54_11|[16003:16540](-)|window_502--NPDC012751,ctg54_12|[16601:17798](-)|window_502--NPDC012751,ctg54_13|[18080:19310](+)|window_502--NPDC012751,ctg54_14|[19386:20733](-)|window_502--NPDC012751,ctg54_15|[20749:22120](-)|window_502--NPDC012751,ctg54_16|[22300:24673](-)|window_502--NPDC012751,ctg54_17|[24672:24810](-)|window_502--NPDC012751,ctg54_18|[24806:25109](-)|window_502--NPDC012751,ctg54_19|[25355:25988](-)|window_502--NPDC012751,ctg54_1|[2:3353](+)|window_502--NPDC012751,ctg54_20|[26155:26644](-)|window_502--NPDC012751,ctg54_21|[26885:27053](+)|window_502--NPDC012751,ctg54_22|[27033:27315](+)|window_502--NPDC012751,ctg54_23|[27286:28153](+)|window_502--NPDC012751,ctg54_24|[28152:29001](+)|window_502--NPDC012751,ctg54_25|[29002:29419](+)|window_502--NPDC012751,ctg54_26|[29436:29676](+)|window_502--NPDC012751,ctg54_27|[29697:30525](+)|window_502--NPDC012751,ctg54_28|[30534:31485](+)|window_502--NPDC012751,ctg54_29|[31481:32891](+)|window_502--NPDC012751,ctg54_2|[3349:5602](+)|window_502--NPDC012751,ctg54_30|[32887:34168](+)|window_502--NPDC012751,ctg54_31|[34199:34460](+)|window_502--NPDC012751,ctg54_32|[34472:35306](+)|window_502--NPDC012751,ctg54_33|[35302:35911](+)|window_502--NPDC012751,ctg54_34|[35903:37067](+)|window_502--NPDC012751,ctg54_35|[37113:37521](+)|window_502--NPDC012751,ctg54_36|[37828:38812](+)|window_502--NPDC012751,ctg54_37|[38960:40049](-)|window_502--NPDC012751,ctg54_38|[40067:40826](-)|window_502--NPDC012751,ctg54_39|[41047:41386](-)|window_502--NPDC012751,ctg54_3|[5601:6765](+)|window_502--NPDC012751,ctg54_40|[41547:42090](-)|window_502--NPDC012751,ctg54_4|[6921:8016](-)|window_502--NPDC012751,ctg54_5|[8323:8836](-)|window_502--NPDC012751,ctg54_6|[9306:10932](+)|window_502--NPDC012751,ctg54_7|[10933:12442](+)|window_502--NPDC012751,ctg54_8|[12502:13453](+)|window_502--NPDC012751,ctg54_9|[13449:14424](+)|window_502--NPDC012751
window_106--GCA_900110755.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
window_120--NPDC004732,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_126--GCA_014649235.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_128--NPDC015242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
window_136--NPDC007153,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_159--GCA_005938145.1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_202--NPDC001789,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_225--NPDC025244,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_236--NPDC045608,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_237--NPDC001922,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_254--GCA_014203475.1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
window_267--NPDC046215,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
