Gene Names,FGK60_10840|[1749:3345](+)|window_159--GCA_005938145.1,FGK60_10845|[3565:4429](+)|window_159--GCA_005938145.1,FGK60_10850|[4432:6376](+)|window_159--GCA_005938145.1,FGK60_10855|[6372:7359](+)|window_159--GCA_005938145.1,FGK60_10860|[7501:10861](+)|window_159--GCA_005938145.1,FGK60_10865|[10892:12047](+)|window_159--GCA_005938145.1,FGK60_10870|[12043:12988](+)|window_159--GCA_005938145.1,FGK60_10875|[12984:14094](+)|window_159--GCA_005938145.1,FGK60_10880|[14288:15932](-)|window_159--GCA_005938145.1,FGK60_10890|[16539:17790](-)|window_159--GCA_005938145.1,FGK60_10895|[17862:18660](-)|window_159--GCA_005938145.1,FGK60_10900|[18695:19328](-)|window_159--GCA_005938145.1,FGK60_10905|[19508:20414](+)|window_159--GCA_005938145.1,FGK60_10910|[20410:21523](+)|window_159--GCA_005938145.1,FGK60_10915|[21572:22085](+)|window_159--GCA_005938145.1,FGK60_10920|[22393:22879](-)|window_159--GCA_005938145.1,FGK60_10925|[22875:23841](-)|window_159--GCA_005938145.1,FGK60_10930|[23916:25056](-)|window_159--GCA_005938145.1,FGK60_10935|[25120:26122](-)|window_159--GCA_005938145.1,FGK60_10940|[26187:26832](-)|window_159--GCA_005938145.1,FGK60_10945|[26948:28334](-)|window_159--GCA_005938145.1,FGK60_10950|[28740:29757](-)|window_159--GCA_005938145.1,FGK60_10955|[30000:31716](+)|window_159--GCA_005938145.1,FGK60_10960|[31718:33230](+)|window_159--GCA_005938145.1,FGK60_10965|[33285:34236](+)|window_159--GCA_005938145.1,FGK60_10970|[34232:35207](+)|window_159--GCA_005938145.1,FGK60_10975|[35380:36562](+)|window_159--GCA_005938145.1,FGK60_10980|[36810:37044](-)|window_159--GCA_005938145.1,FGK60_10985|[37040:37373](-)|window_159--GCA_005938145.1,FGK60_10990|[37366:37528](+)|window_159--GCA_005938145.1,FGK60_10995|[37528:38668](+)|window_159--GCA_005938145.1,FGK60_11000|[38955:40113](+)|window_159--GCA_005938145.1,FGK60_11005|[40143:43290](-)|window_159--GCA_005938145.1,FGK60_11015|[45245:45551](-)|window_159--GCA_005938145.1,FGK60_11020|[45613:46546](-)|window_159--GCA_005938145.1,FGK60_11025|[46747:47062](+)|window_159--GCA_005938145.1,FGK60_11030|[47854:48655](+)|window_159--GCA_005938145.1,FGK60_11035|[48733:49378](+)|window_159--GCA_005938145.1,FGK60_11040|[49374:52083](+)|window_159--GCA_005938145.1,FGK60_11045|[52079:53051](+)|window_159--GCA_005938145.1,FGK60_11050|[53047:54067](+)|window_159--GCA_005938145.1,FGK60_11055|[54075:54600](+)|window_159--GCA_005938145.1,FGK60_11075|[57783:60450](-)|window_159--GCA_005938145.1,FGK60_11080|[61301:62648](-)|window_159--GCA_005938145.1,FGK60_11085|[62884:63133](-)|window_159--GCA_005938145.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
