Gene Names,MQV71_00005|[482:1151](+)|window_296--GCA_022698305.1,MQV71_00010|[1793:3551](-)|window_296--GCA_022698305.1,MQV71_00015|[4381:5179](-)|window_296--GCA_022698305.1,MQV71_00020|[6101:6896](-)|window_296--GCA_022698305.1,MQV71_00025|[7088:9953](+)|window_296--GCA_022698305.1,MQV71_00030|[9985:10240](+)|window_296--GCA_022698305.1,MQV71_00035|[10261:10552](+)|window_296--GCA_022698305.1,MQV71_00040|[11135:11876](-)|window_296--GCA_022698305.1,MQV71_00045|[12304:12886](+)|window_296--GCA_022698305.1,MQV71_00050|[12970:13327](-)|window_296--GCA_022698305.1,MQV71_00055|[13506:14133](+)|window_296--GCA_022698305.1,MQV71_00060|[14401:14893](-)|window_296--GCA_022698305.1,MQV71_00065|[14977:16141](-)|window_296--GCA_022698305.1,MQV71_00070|[16332:18477](-)|window_296--GCA_022698305.1,MQV71_00075|[19292:21008](+)|window_296--GCA_022698305.1,MQV71_00080|[21011:22547](+)|window_296--GCA_022698305.1,MQV71_00085|[22642:23593](+)|window_296--GCA_022698305.1,MQV71_00090|[23589:24564](+)|window_296--GCA_022698305.1,MQV71_00095|[24622:25522](-)|window_296--GCA_022698305.1,MQV71_00100|[25659:26799](-)|window_296--GCA_022698305.1,MQV71_00105|[26850:27858](-)|window_296--GCA_022698305.1,MQV71_00110|[27870:28515](-)|window_296--GCA_022698305.1,MQV71_00115|[28620:29994](-)|window_296--GCA_022698305.1,MQV71_00120|[30505:30754](-)|window_296--GCA_022698305.1,MQV71_00125|[31015:31846](-)|window_296--GCA_022698305.1,MQV71_00130|[32410:33391](-)|window_296--GCA_022698305.1,MQV71_00135|[33387:34308](-)|window_296--GCA_022698305.1,MQV71_00140|[34397:35351](+)|window_296--GCA_022698305.1,MQV71_00145|[35415:36531](-)|window_296--GCA_022698305.1,MQV71_00150|[37638:38076](+)|window_296--GCA_022698305.1,MQV71_00155|[38195:38429](-)|window_296--GCA_022698305.1,MQV71_00160|[38428:39016](-)|window_296--GCA_022698305.1,MQV71_00165|[39164:39842](+)|window_296--GCA_022698305.1,MQV71_00175|[40804:41359](+)|window_296--GCA_022698305.1,MQV71_00180|[41395:42745](-)|window_296--GCA_022698305.1,MQV71_00185|[43103:44231](+)|window_296--GCA_022698305.1,MQV71_00190|[44274:44664](-)|window_296--GCA_022698305.1,MQV71_00195|[44753:45680](+)|window_296--GCA_022698305.1,MQV71_00200|[45777:46761](+)|window_296--GCA_022698305.1,MQV71_00205|[46808:47750](-)|window_296--GCA_022698305.1,MQV71_00210|[48004:49165](+)|window_296--GCA_022698305.1,MQV71_00215|[49175:50054](-)|window_296--GCA_022698305.1,MQV71_00220|[50208:51615](+)|window_296--GCA_022698305.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
window_126--GCA_014649235.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_320--NPDC004259,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_324--NPDC006537,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
window_330--NPDC006439,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_332--NPDC053390,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_338--NPDC023457,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_359--NPDC005853,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_37--NPDC025395,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
