Reference_GenBank,Other_GenBank,Jaccard_Similarity_Score
window_798--NPDC024139,window_106--GCA_900110755.1,0.0234527687296417
window_798--NPDC024139,window_120--NPDC004732,0.024429967426710105
window_798--NPDC024139,window_126--GCA_014649235.1,0.024429967426710105
window_798--NPDC024139,window_128--NPDC015242,0.008789062500000005
window_798--NPDC024139,window_136--NPDC007153,0.18208469055374596
window_798--NPDC024139,window_159--GCA_005938145.1,0.024390243902439032
window_798--NPDC024139,window_202--NPDC001789,0.04332247557003259
window_798--NPDC024139,window_225--NPDC025244,0.3270358306188926
window_798--NPDC024139,window_236--NPDC045608,0.3257698541329012
window_798--NPDC024139,window_237--NPDC001922,0.22508143322475577
window_798--NPDC024139,window_254--GCA_014203475.1,0.024429967426710105
window_798--NPDC024139,window_267--NPDC046215,0.024429967426710105
window_798--NPDC024139,window_268--NPDC025403,0.012052117263843655
window_798--NPDC024139,window_296--GCA_022698305.1,0.024429967426710105
window_798--NPDC024139,window_320--NPDC004259,0.024429967426710105
window_798--NPDC024139,window_324--NPDC006537,0.9768729641693811
window_798--NPDC024139,window_328--GCA_008704495.1,0.03615635179153096
window_798--NPDC024139,window_330--NPDC006439,0.9566775244299673
window_798--NPDC024139,window_332--NPDC053390,0.36416938110749186
window_798--NPDC024139,window_338--NPDC023457,0.9768729641693811
window_798--NPDC024139,window_343--GCA_039524935.1,0.024429967426710105
window_798--NPDC024139,window_352--NPDC049867,0.024429967426710105
window_798--NPDC024139,window_359--NPDC005853,0.024311183144246365
window_798--NPDC024139,window_36--NPDC057840,0.047200520833333356
window_798--NPDC024139,window_37--NPDC025395,0.024429967426710105
window_798--NPDC024139,window_377--NPDC002055,0.024429967426710105
window_798--NPDC024139,window_38--NPDC057796,0.042671009771986984
window_798--NPDC024139,window_385--GCA_014654785.1,0.0029315960912052134
window_798--NPDC024139,window_389--NPDC053753,0.9768729641693811
window_798--NPDC024139,window_423--NPDC052115,0.024429967426710105
window_798--NPDC024139,window_430--NPDC057836,0.047200520833333356
window_798--NPDC024139,window_438--NPDC023046,0.9566775244299673
window_798--NPDC024139,window_439--NPDC041068,0.024429967426710105
window_798--NPDC024139,window_448--NPDC007050,0.9768729641693811
window_798--NPDC024139,window_455--NPDC057837,0.047200520833333356
window_798--NPDC024139,window_484--GCA_030490905.1,0.18208469055374596
window_798--NPDC024139,window_495--GCA_044326755.1,0.02734375000000001
window_798--NPDC024139,window_496--NPDC018347,0.012052117263843655
window_798--NPDC024139,window_50--NPDC052114,0.024429967426710105
window_798--NPDC024139,window_502--NPDC012751,0.012052117263843655
window_798--NPDC024139,window_510--GCA_014656295.1,0.009771986970684043
window_798--NPDC024139,window_512--NPDC051636,0.024429967426710105
window_798--NPDC024139,window_533--NPDC007986,0.4811074918566777
window_798--NPDC024139,window_534--NPDC031945,0.27974068071312813
window_798--NPDC024139,window_535--NPDC024387,0.012052117263843655
window_798--NPDC024139,window_538--NPDC021725,0.024390243902439032
window_798--NPDC024139,window_571--GCA_008042075.1,0.00879478827361564
window_798--NPDC024139,window_584--NPDC021736,0.024390243902439032
window_798--NPDC024139,window_591--GCA_006088715.1,0.024429967426710105
window_798--NPDC024139,window_601--NPDC045376,0.9768729641693811
window_798--NPDC024139,window_64--NPDC045938,0.9198697068403909
window_798--NPDC024139,window_644--NPDC021450,0.022149837133550496
window_798--NPDC024139,window_653--NPDC059887,0.6009771986970687
window_798--NPDC024139,window_657--NPDC053751,0.34234527687296423
window_798--NPDC024139,window_68--NPDC050504,0.024429967426710105
window_798--NPDC024139,window_680--GCA_014650495.1,0.024311183144246365
window_798--NPDC024139,window_690--NPDC020656,0.27974068071312813
window_798--NPDC024139,window_720--NPDC032246,0.9768729641693811
window_798--NPDC024139,window_734--NPDC020840,0.1149837133550489
window_798--NPDC024139,window_738--GCA_008704795.1,0.024429967426710105
window_798--NPDC024139,window_741--GCA_044326745.1,0.02734375000000001
window_798--NPDC024139,window_742--NPDC057838,0.047200520833333356
window_798--NPDC024139,window_747--NPDC021432,0.04332247557003259
window_798--NPDC024139,window_748--GCA_002556545.1,0.04332247557003259
window_798--NPDC024139,window_757--NPDC003691,0.024429967426710105
window_798--NPDC024139,window_781--GCA_044326795.1,0.008789062500000005
window_798--NPDC024139,window_790--NPDC053754,0.4811074918566777
window_798--NPDC024139,window_798--NPDC024139,1.0
window_798--NPDC024139,window_807--GCA_003933965.1,0.008789062500000005
window_798--NPDC024139,window_815--NPDC057833,0.047200520833333356
window_798--NPDC024139,window_823--GCA_000590515.1,0.007804878048780492
window_798--NPDC024139,window_86--NPDC000785,0.024429967426710105
window_798--NPDC024139,window_9--GCA_036227125.1,0.010423452768729646
