,ctg19_13|[229:1801](+)|window_389--NPDC053753.gbff,ctg19_14|[1877:3269](+)|window_389--NPDC053753.gbff,ctg19_15|[3383:4772](+)|window_389--NPDC053753.gbff,ctg19_16|[4805:5177](-)|window_389--NPDC053753.gbff,ctg19_17|[5176:5410](-)|window_389--NPDC053753.gbff,ctg19_18|[5463:6081](-)|window_389--NPDC053753.gbff,ctg19_19|[6476:7112](+)|window_389--NPDC053753.gbff,ctg19_20|[7213:9109](+)|window_389--NPDC053753.gbff,ctg19_21|[9338:10433](+)|window_389--NPDC053753.gbff,ctg19_22|[10658:11105](+)|window_389--NPDC053753.gbff,ctg19_23|[11094:14181](-)|window_389--NPDC053753.gbff,ctg19_24|[14177:15350](-)|window_389--NPDC053753.gbff,ctg19_25|[15498:16314](-)|window_389--NPDC053753.gbff,ctg19_26|[16539:17166](-)|window_389--NPDC053753.gbff,ctg19_27|[17242:17650](+)|window_389--NPDC053753.gbff,ctg19_28|[17753:18242](+)|window_389--NPDC053753.gbff,ctg19_29|[18272:18815](-)|window_389--NPDC053753.gbff,ctg19_30|[18893:19466](-)|window_389--NPDC053753.gbff,ctg19_31|[19576:20440](+)|window_389--NPDC053753.gbff,ctg19_32|[20509:21676](-)|window_389--NPDC053753.gbff,ctg19_33|[21715:23257](+)|window_389--NPDC053753.gbff,ctg19_34|[23520:24558](-)|window_389--NPDC053753.gbff,ctg19_35|[24557:25175](-)|window_389--NPDC053753.gbff,ctg19_36|[25190:27530](-)|window_389--NPDC053753.gbff,ctg19_37|[27609:28041](+)|window_389--NPDC053753.gbff,ctg19_38|[28207:28732](+)|window_389--NPDC053753.gbff,ctg19_39|[28907:29600](-)|window_389--NPDC053753.gbff,ctg19_40|[30000:31716](+)|window_389--NPDC053753.gbff,ctg19_41|[31718:33245](+)|window_389--NPDC053753.gbff,ctg19_42|[33329:34280](+)|window_389--NPDC053753.gbff,ctg19_43|[34276:35251](+)|window_389--NPDC053753.gbff,ctg19_44|[35364:36546](+)|window_389--NPDC053753.gbff,ctg19_45|[36597:37737](-)|window_389--NPDC053753.gbff,ctg19_46|[37776:38781](-)|window_389--NPDC053753.gbff,ctg19_47|[38825:39470](-)|window_389--NPDC053753.gbff,ctg19_48|[39496:40873](-)|window_389--NPDC053753.gbff,ctg19_49|[41044:43117](-)|window_389--NPDC053753.gbff,ctg19_50|[43938:44391](-)|window_389--NPDC053753.gbff,ctg19_51|[44511:45483](+)|window_389--NPDC053753.gbff,ctg19_52|[45569:46457](-)|window_389--NPDC053753.gbff,ctg19_53|[46471:46687](-)|window_389--NPDC053753.gbff,ctg19_54|[46973:47693](+)|window_389--NPDC053753.gbff,ctg19_55|[47867:48095](+)|window_389--NPDC053753.gbff,ctg19_56|[48107:48452](+)|window_389--NPDC053753.gbff,ctg19_57|[48519:48888](-)|window_389--NPDC053753.gbff,ctg19_58|[49043:49637](-)|window_389--NPDC053753.gbff,ctg19_59|[49633:49996](-)|window_389--NPDC053753.gbff,ctg19_60|[50046:50715](-)|window_389--NPDC053753.gbff,ctg19_61|[50708:51551](-)|window_389--NPDC053753.gbff,ctg19_62|[51833:52601](-)|window_389--NPDC053753.gbff,ctg19_63|[52649:53435](-)|window_389--NPDC053753.gbff,ctg19_64|[53636:54080](+)|window_389--NPDC053753.gbff,ctg19_65|[54138:55095](-)|window_389--NPDC053753.gbff,ctg19_66|[55256:56669](-)|window_389--NPDC053753.gbff,ctg19_67|[57054:57849](+)|window_389--NPDC053753.gbff,ctg19_68|[57895:58390](+)|window_389--NPDC053753.gbff,ctg19_69|[58655:59423](-)|window_389--NPDC053753.gbff,ctg19_70|[59953:60532](+)|window_389--NPDC053753.gbff,ctg19_71|[60630:61557](-)|window_389--NPDC053753.gbff,ctg19_72|[61553:61988](-)|window_389--NPDC053753.gbff,ctg19_73|[61984:62977](-)|window_389--NPDC053753.gbff
window_438--NPDC023046.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_389--NPDC053753.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_338--NPDC023457.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_448--NPDC007050.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_601--NPDC045376.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_324--NPDC006537.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_330--NPDC006439.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
window_720--NPDC032246.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_798--NPDC024139.gbff,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_64--NPDC045938.gbff,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_534--NPDC031945.gbff,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_690--NPDC020656.gbff,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_742--NPDC057838.gbff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_36--NPDC057840.gbff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
