Gene Names,GCM10010507_18110|[13179:13710](+)|window_680--GCA_014650495.1,GCM10010507_18120|[13789:14626](+)|window_680--GCA_014650495.1,GCM10010507_18130|[14659:15607](+)|window_680--GCA_014650495.1,GCM10010507_18140|[15603:16401](+)|window_680--GCA_014650495.1,GCM10010507_18150|[16457:17666](+)|window_680--GCA_014650495.1,GCM10010507_18160|[17882:19598](+)|window_680--GCA_014650495.1,GCM10010507_18170|[19600:21139](+)|window_680--GCA_014650495.1,GCM10010507_18180|[21197:22148](+)|window_680--GCA_014650495.1,GCM10010507_18190|[22144:23119](+)|window_680--GCA_014650495.1,GCM10010507_18200|[23265:24408](+)|window_680--GCA_014650495.1,GCM10010507_18210|[24437:25400](-)|window_680--GCA_014650495.1,GCM10010507_18220|[25443:26583](-)|window_680--GCA_014650495.1,GCM10010507_18230|[26628:27633](-)|window_680--GCA_014650495.1,GCM10010507_18240|[27684:28329](-)|window_680--GCA_014650495.1,GCM10010507_18250|[28337:29711](-)|window_680--GCA_014650495.1,GCM10010507_18260|[29851:32020](-)|window_680--GCA_014650495.1,GCM10010507_18270|[32387:35783](+)|window_680--GCA_014650495.1,GCM10010507_18280|[35855:38126](-)|window_680--GCA_014650495.1,GCM10010507_18290|[38223:38454](-)|window_680--GCA_014650495.1,GCM10010507_18300|[38614:39556](+)|window_680--GCA_014650495.1,GCM10010507_18310|[39605:40496](-)|window_680--GCA_014650495.1,GCM10010507_18320|[40492:41449](-)|window_680--GCA_014650495.1,GCM10010507_18330|[41551:41860](-)|window_680--GCA_014650495.1,GCM10010507_18340|[41795:43220](+)|window_680--GCA_014650495.1,GCM10010507_18350|[43310:44222](+)|window_680--GCA_014650495.1,GCM10010507_18360|[44218:44818](-)|window_680--GCA_014650495.1,GCM10010507_18370|[44875:45616](-)|window_680--GCA_014650495.1,GCM10010507_18380|[45831:46206](-)|window_680--GCA_014650495.1,GCM10010507_18390|[46500:46968](+)|window_680--GCA_014650495.1,GCM10010507_18400|[47152:47980](+)|window_680--GCA_014650495.1
window_106--GCA_900110755.1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
