,ctg26_1|[15:858](-)|window_86--NPDC000785.gbff,ctg26_2|[870:1566](-)|window_86--NPDC000785.gbff,ctg26_3|[1982:4301](-)|window_86--NPDC000785.gbff,ctg26_4|[4890:4992](+)|window_86--NPDC000785.gbff,ctg26_5|[5074:5794](-)|window_86--NPDC000785.gbff,ctg26_6|[5790:6144](-)|window_86--NPDC000785.gbff,ctg26_7|[6387:6792](-)|window_86--NPDC000785.gbff,ctg26_8|[6831:7035](+)|window_86--NPDC000785.gbff,ctg26_9|[7210:7327](-)|window_86--NPDC000785.gbff,ctg26_10|[7323:7446](-)|window_86--NPDC000785.gbff,ctg26_11|[7442:8045](-)|window_86--NPDC000785.gbff,ctg26_12|[8081:8636](+)|window_86--NPDC000785.gbff,ctg26_13|[8797:9592](-)|window_86--NPDC000785.gbff,ctg26_14|[9859:12757](+)|window_86--NPDC000785.gbff,ctg26_15|[12917:13454](-)|window_86--NPDC000785.gbff,ctg26_16|[13475:14561](-)|window_86--NPDC000785.gbff,ctg26_17|[14899:15604](-)|window_86--NPDC000785.gbff,ctg26_18|[15582:15921](-)|window_86--NPDC000785.gbff,ctg26_19|[16249:18391](-)|window_86--NPDC000785.gbff,ctg26_20|[18835:20551](+)|window_86--NPDC000785.gbff,ctg26_21|[20554:22102](+)|window_86--NPDC000785.gbff,ctg26_22|[22184:23135](+)|window_86--NPDC000785.gbff,ctg26_23|[23131:24106](+)|window_86--NPDC000785.gbff,ctg26_24|[24099:25281](-)|window_86--NPDC000785.gbff,ctg26_25|[25314:26322](-)|window_86--NPDC000785.gbff,ctg26_26|[26338:26983](-)|window_86--NPDC000785.gbff,ctg26_27|[27055:28432](-)|window_86--NPDC000785.gbff,ctg26_28|[28789:28954](+)|window_86--NPDC000785.gbff,ctg26_29|[29082:29982](+)|window_86--NPDC000785.gbff,ctg26_30|[30583:30841](+)|window_86--NPDC000785.gbff,ctg26_31|[31368:31881](-)|window_86--NPDC000785.gbff,ctg26_32|[32060:32993](+)|window_86--NPDC000785.gbff,ctg26_33|[33907:34411](-)|window_86--NPDC000785.gbff,ctg26_34|[34492:34843](-)|window_86--NPDC000785.gbff,ctg26_35|[34898:35363](-)|window_86--NPDC000785.gbff,ctg26_36|[35387:35762](-)|window_86--NPDC000785.gbff,ctg26_37|[35887:36409](-)|window_86--NPDC000785.gbff,ctg26_38|[36405:36657](-)|window_86--NPDC000785.gbff
window_86--NPDC000785.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_37--NPDC025395.gbff,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
window_423--NPDC052115.gbff,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_343--GCA_039524935.1.gbff,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_267--NPDC046215.gbff,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
window_38--NPDC057796.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_352--NPDC049867.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_748--GCA_002556545.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_747--NPDC021432.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_328--GCA_008704495.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_738--GCA_008704795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_320--NPDC004259.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_591--GCA_006088715.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
window_495--GCA_044326755.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
window_781--GCA_044326795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
window_757--NPDC003691.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_644--NPDC021450.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
window_538--NPDC021725.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
