,ctg18_83|[785:1637](+)|window_37--NPDC025395.gbff,ctg18_84|[1784:2681](+)|window_37--NPDC025395.gbff,ctg18_85|[2727:3240](+)|window_37--NPDC025395.gbff,ctg18_86|[3281:4205](-)|window_37--NPDC025395.gbff,ctg18_87|[4614:5664](+)|window_37--NPDC025395.gbff,ctg18_88|[5878:6382](+)|window_37--NPDC025395.gbff,ctg18_89|[6593:7613](+)|window_37--NPDC025395.gbff,ctg18_90|[7609:8350](+)|window_37--NPDC025395.gbff,ctg18_91|[8346:10755](+)|window_37--NPDC025395.gbff,ctg18_92|[10896:11322](+)|window_37--NPDC025395.gbff,ctg18_93|[11384:11729](-)|window_37--NPDC025395.gbff,ctg18_94|[12306:15000](+)|window_37--NPDC025395.gbff,ctg18_95|[15047:15803](+)|window_37--NPDC025395.gbff,ctg18_96|[15799:16321](+)|window_37--NPDC025395.gbff,ctg18_97|[16446:16821](+)|window_37--NPDC025395.gbff,ctg18_98|[16845:17310](+)|window_37--NPDC025395.gbff,ctg18_99|[17365:17716](+)|window_37--NPDC025395.gbff,ctg18_100|[17794:19219](-)|window_37--NPDC025395.gbff,ctg18_101|[19215:19950](-)|window_37--NPDC025395.gbff,ctg18_102|[20327:20840](+)|window_37--NPDC025395.gbff,ctg18_103|[21367:21778](-)|window_37--NPDC025395.gbff,ctg18_104|[22226:23126](-)|window_37--NPDC025395.gbff,ctg18_105|[23776:25153](+)|window_37--NPDC025395.gbff,ctg18_106|[25225:25870](+)|window_37--NPDC025395.gbff,ctg18_107|[25886:26894](+)|window_37--NPDC025395.gbff,ctg18_108|[26927:28067](+)|window_37--NPDC025395.gbff,ctg18_109|[27939:28971](-)|window_37--NPDC025395.gbff,ctg18_110|[28967:29918](-)|window_37--NPDC025395.gbff,ctg18_111|[30000:31548](-)|window_37--NPDC025395.gbff,ctg18_112|[31551:33267](-)|window_37--NPDC025395.gbff,ctg18_113|[33703:35842](+)|window_37--NPDC025395.gbff,ctg18_114|[36451:37192](+)|window_37--NPDC025395.gbff,ctg18_115|[37452:38616](+)|window_37--NPDC025395.gbff,ctg18_116|[38733:39174](+)|window_37--NPDC025395.gbff,ctg18_117|[39334:42232](-)|window_37--NPDC025395.gbff,ctg18_118|[42499:43294](+)|window_37--NPDC025395.gbff,ctg18_119|[43455:44010](-)|window_37--NPDC025395.gbff,ctg18_120|[44120:44504](-)|window_37--NPDC025395.gbff,ctg18_121|[45056:45260](-)|window_37--NPDC025395.gbff,ctg18_122|[45299:45704](+)|window_37--NPDC025395.gbff,ctg18_123|[45947:46301](+)|window_37--NPDC025395.gbff,ctg18_124|[46297:47017](+)|window_37--NPDC025395.gbff,ctg18_125|[47967:50109](+)|window_37--NPDC025395.gbff,ctg18_126|[50393:51221](+)|window_37--NPDC025395.gbff,ctg18_127|[51293:52076](+)|window_37--NPDC025395.gbff,ctg18_128|[52275:52386](-)|window_37--NPDC025395.gbff,ctg18_129|[52395:53235](-)|window_37--NPDC025395.gbff,ctg18_130|[53341:54043](-)|window_37--NPDC025395.gbff,ctg18_131|[54610:55231](+)|window_37--NPDC025395.gbff,ctg18_132|[55275:55620](+)|window_37--NPDC025395.gbff,ctg18_133|[55884:56286](-)|window_37--NPDC025395.gbff,ctg18_134|[56538:57288](+)|window_37--NPDC025395.gbff,ctg18_135|[57510:59607](+)|window_37--NPDC025395.gbff,ctg18_136|[60216:61224](-)|window_37--NPDC025395.gbff
window_37--NPDC025395.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_352--NPDC049867.gbff,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_38--NPDC057796.gbff,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_86--NPDC000785.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
window_439--NPDC041068.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_781--GCA_044326795.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_741--GCA_044326745.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_495--GCA_044326755.1.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_423--NPDC052115.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_50--NPDC052114.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_68--NPDC050504.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
window_202--NPDC001789.gbff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
