Gene Names,FHS40_007024|[771:2178](-)|window_254--GCA_014203475.1,FHS40_007025|[2332:3211](+)|window_254--GCA_014203475.1,FHS40_007026|[3221:4382](-)|window_254--GCA_014203475.1,FHS40_007027|[4636:5578](+)|window_254--GCA_014203475.1,FHS40_007028|[5625:6609](-)|window_254--GCA_014203475.1,FHS40_007029|[6706:7633](-)|window_254--GCA_014203475.1,FHS40_007030|[7722:8112](+)|window_254--GCA_014203475.1,FHS40_007031|[8155:9283](-)|window_254--GCA_014203475.1,FHS40_007032|[9569:10991](+)|window_254--GCA_014203475.1,FHS40_007033|[11027:11582](-)|window_254--GCA_014203475.1,FHS40_007035|[12544:13222](-)|window_254--GCA_014203475.1,FHS40_007036|[13370:13958](+)|window_254--GCA_014203475.1,FHS40_007037|[13957:14191](+)|window_254--GCA_014203475.1,FHS40_007038|[14310:14748](-)|window_254--GCA_014203475.1,FHS40_007039|[14947:15046](-)|window_254--GCA_014203475.1,FHS40_007040|[15855:16971](+)|window_254--GCA_014203475.1,FHS40_007041|[17035:17989](-)|window_254--GCA_014203475.1,FHS40_007042|[18078:18999](+)|window_254--GCA_014203475.1,FHS40_007043|[18995:19976](+)|window_254--GCA_014203475.1,FHS40_007044|[20540:21371](+)|window_254--GCA_014203475.1,FHS40_007045|[21632:21881](+)|window_254--GCA_014203475.1,FHS40_007046|[22392:23766](+)|window_254--GCA_014203475.1,FHS40_007047|[23871:24516](+)|window_254--GCA_014203475.1,FHS40_007048|[24528:25536](+)|window_254--GCA_014203475.1,FHS40_007049|[25587:26727](+)|window_254--GCA_014203475.1,FHS40_007050|[26804:27764](+)|window_254--GCA_014203475.1,FHS40_007051|[27983:28958](-)|window_254--GCA_014203475.1,FHS40_007052|[28954:29905](-)|window_254--GCA_014203475.1,FHS40_007053|[30000:31536](-)|window_254--GCA_014203475.1,FHS40_007054|[31539:33255](-)|window_254--GCA_014203475.1,FHS40_007055|[34070:36215](+)|window_254--GCA_014203475.1,FHS40_007056|[36406:37570](+)|window_254--GCA_014203475.1,FHS40_007057|[37654:38146](+)|window_254--GCA_014203475.1,FHS40_007058|[38414:39041](-)|window_254--GCA_014203475.1,FHS40_007059|[39220:39577](+)|window_254--GCA_014203475.1,FHS40_007060|[39661:40243](-)|window_254--GCA_014203475.1,FHS40_007061|[40671:41412](+)|window_254--GCA_014203475.1,FHS40_007062|[41995:42286](-)|window_254--GCA_014203475.1,FHS40_007063|[42307:42562](-)|window_254--GCA_014203475.1,FHS40_007064|[42594:45459](-)|window_254--GCA_014203475.1,FHS40_007065|[45651:46446](+)|window_254--GCA_014203475.1,FHS40_007066|[46409:47183](-)|window_254--GCA_014203475.1,FHS40_007067|[47368:48166](+)|window_254--GCA_014203475.1,FHS40_007068|[48996:50754](+)|window_254--GCA_014203475.1,FHS40_007069|[51396:52065](-)|window_254--GCA_014203475.1,FHS40_007070|[52541:53681](-)|window_254--GCA_014203475.1,FHS40_007071|[54521:55274](+)|window_254--GCA_014203475.1,FHS40_007072|[55537:56026](-)|window_254--GCA_014203475.1,FHS40_007073|[56031:56856](-)|window_254--GCA_014203475.1,FHS40_007074|[56845:57316](+)|window_254--GCA_014203475.1,FHS40_007075|[58025:59027](+)|window_254--GCA_014203475.1,FHS40_007076|[59135:59753](+)|window_254--GCA_014203475.1,FHS40_007077|[61229:62078](+)|window_254--GCA_014203475.1,FHS40_007078|[62517:63252](+)|window_254--GCA_014203475.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
window_126--GCA_014649235.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
