Gene Names,ACH3VS_07070|[3364:3622](+)|window_781--GCA_044326795.1,ACH3VS_07075|[4006:4585](-)|window_781--GCA_044326795.1,ACH3VS_07080|[4820:8000](+)|window_781--GCA_044326795.1,ACH3VS_07085|[7989:10263](+)|window_781--GCA_044326795.1,ACH3VS_07090|[10378:11299](+)|window_781--GCA_044326795.1,ACH3VS_07100|[11758:12589](+)|window_781--GCA_044326795.1,ACH3VS_07105|[13064:13847](+)|window_781--GCA_044326795.1,ACH3VS_07110|[13945:14590](+)|window_781--GCA_044326795.1,ACH3VS_07115|[14597:17294](+)|window_781--GCA_044326795.1,ACH3VS_07120|[17290:18262](+)|window_781--GCA_044326795.1,ACH3VS_07125|[18258:19275](+)|window_781--GCA_044326795.1,ACH3VS_07130|[19289:19814](+)|window_781--GCA_044326795.1,ACH3VS_07135|[20084:21470](+)|window_781--GCA_044326795.1,ACH3VS_07140|[22221:23151](+)|window_781--GCA_044326795.1,ACH3VS_07145|[23314:24583](+)|window_781--GCA_044326795.1,ACH3VS_07150|[24620:25838](+)|window_781--GCA_044326795.1,ACH3VS_07155|[25939:26584](+)|window_781--GCA_044326795.1,ACH3VS_07160|[26660:27845](-)|window_781--GCA_044326795.1,ACH3VS_07165|[27984:28959](-)|window_781--GCA_044326795.1,ACH3VS_07170|[28955:29852](-)|window_781--GCA_044326795.1,ACH3VS_07175|[30000:31527](-)|window_781--GCA_044326795.1,ACH3VS_07180|[31526:33242](-)|window_781--GCA_044326795.1,ACH3VS_07185|[33608:34811](+)|window_781--GCA_044326795.1,ACH3VS_07190|[34914:35937](-)|window_781--GCA_044326795.1,ACH3VS_07195|[35917:37264](-)|window_781--GCA_044326795.1,ACH3VS_07200|[37502:39815](-)|window_781--GCA_044326795.1,ACH3VS_07210|[41691:42327](-)|window_781--GCA_044326795.1,ACH3VS_07215|[42374:42557](-)|window_781--GCA_044326795.1,ACH3VS_07220|[42603:42864](+)|window_781--GCA_044326795.1,ACH3VS_07225|[43763:44009](-)|window_781--GCA_044326795.1,ACH3VS_07230|[44026:45181](-)|window_781--GCA_044326795.1,ACH3VS_07235|[45516:45966](+)|window_781--GCA_044326795.1,ACH3VS_07240|[46123:46519](-)|window_781--GCA_044326795.1,ACH3VS_07245|[46569:47835](-)|window_781--GCA_044326795.1,ACH3VS_07250|[47831:48635](-)|window_781--GCA_044326795.1,ACH3VS_07255|[48637:49972](-)|window_781--GCA_044326795.1,ACH3VS_07260|[49955:50690](-)|window_781--GCA_044326795.1,ACH3VS_07265|[50802:51567](+)|window_781--GCA_044326795.1,ACH3VS_07270|[51556:53431](+)|window_781--GCA_044326795.1,ACH3VS_07275|[53532:53919](-)|window_781--GCA_044326795.1,ACH3VS_07285|[55203:56349](-)|window_781--GCA_044326795.1,ACH3VS_07290|[56499:56685](-)|window_781--GCA_044326795.1,ACH3VS_07295|[56826:59847](-)|window_781--GCA_044326795.1,ACH3VS_07300|[60488:60749](-)|window_781--GCA_044326795.1,ACH3VS_07305|[61644:62886](+)|window_781--GCA_044326795.1,ACH3VS_07310|[63055:63217](-)|window_781--GCA_044326795.1
window_106--GCA_900110755.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_120--NPDC004732,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_126--GCA_014649235.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_128--NPDC015242,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_159--GCA_005938145.1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_202--NPDC001789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_225--NPDC025244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_237--NPDC001922,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_254--GCA_014203475.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_267--NPDC046215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_268--NPDC025403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_296--GCA_022698305.1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
window_320--NPDC004259,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
