Gene Names,ctg103_10|[10711:12088](-)|window_332--NPDC053390,ctg103_11|[12259:13975](-)|window_332--NPDC053390,ctg103_12|[14132:14654](+)|window_332--NPDC053390,ctg103_13|[15153:15606](-)|window_332--NPDC053390,ctg103_14|[15942:16698](+)|window_332--NPDC053390,ctg103_15|[16784:17672](-)|window_332--NPDC053390,ctg103_16|[17686:17860](-)|window_332--NPDC053390,ctg103_17|[17844:18150](-)|window_332--NPDC053390,ctg103_18|[18188:18908](+)|window_332--NPDC053390,ctg103_19|[19082:19310](+)|window_332--NPDC053390,ctg103_1|[128:821](-)|window_332--NPDC053390,ctg103_20|[19322:19667](+)|window_332--NPDC053390,ctg103_21|[19734:20103](-)|window_332--NPDC053390,ctg103_22|[20258:20852](-)|window_332--NPDC053390,ctg103_23|[20848:21211](-)|window_332--NPDC053390,ctg103_24|[21261:21927](-)|window_332--NPDC053390,ctg103_25|[21923:22781](-)|window_332--NPDC053390,ctg103_26|[22749:22971](-)|window_332--NPDC053390,ctg103_27|[23048:23780](-)|window_332--NPDC053390,ctg103_28|[23864:24599](-)|window_332--NPDC053390,ctg103_29|[24851:25295](+)|window_332--NPDC053390,ctg103_2|[1221:2937](+)|window_332--NPDC053390,ctg103_30|[25353:26250](-)|window_332--NPDC053390,ctg103_31|[26481:27873](-)|window_332--NPDC053390,ctg103_32|[27873:28311](+)|window_332--NPDC053390,ctg103_33|[28279:29074](+)|window_332--NPDC053390,ctg103_34|[29120:29396](+)|window_332--NPDC053390,ctg103_3|[2942:4466](+)|window_332--NPDC053390,ctg103_4|[4550:5501](+)|window_332--NPDC053390,ctg103_5|[5497:6472](+)|window_332--NPDC053390,ctg103_6|[6495:7767](+)|window_332--NPDC053390,ctg103_7|[7812:8952](-)|window_332--NPDC053390,ctg103_8|[8991:9996](-)|window_332--NPDC053390,ctg103_9|[10040:10685](-)|window_332--NPDC053390
window_106--GCA_900110755.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
window_120--NPDC004732,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_126--GCA_014649235.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_128--NPDC015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_136--NPDC007153,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_159--GCA_005938145.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1
window_202--NPDC001789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_225--NPDC025244,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
window_236--NPDC045608,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
window_237--NPDC001922,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_254--GCA_014203475.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_267--NPDC046215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_268--NPDC025403,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
window_296--GCA_022698305.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_320--NPDC004259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_324--NPDC006537,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_328--GCA_008704495.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1
window_330--NPDC006439,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_332--NPDC053390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_338--NPDC023457,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_343--GCA_039524935.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_352--NPDC049867,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_359--NPDC005853,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_36--NPDC057840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_37--NPDC025395,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_377--NPDC002055,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_38--NPDC057796,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1
window_385--GCA_014654785.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
window_389--NPDC053753,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_423--NPDC052115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_430--NPDC057836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_438--NPDC023046,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_439--NPDC041068,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
window_448--NPDC007050,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
window_455--NPDC057837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1
window_484--GCA_030490905.1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
