,Z951_34585|[554:2270](+)|window_823--GCA_000590515.1.gbff,Z951_34590|[2272:3784](+)|window_823--GCA_000590515.1.gbff,Z951_34595|[3839:4790](+)|window_823--GCA_000590515.1.gbff,Z951_34600|[4786:5761](+)|window_823--GCA_000590515.1.gbff,Z951_34605|[5934:7116](+)|window_823--GCA_000590515.1.gbff,Z951_34610|[7364:7598](-)|window_823--GCA_000590515.1.gbff,Z951_34615|[7594:7783](-)|window_823--GCA_000590515.1.gbff,Z951_34625|[9495:10653](+)|window_823--GCA_000590515.1.gbff,Z951_34630|[10683:13734](-)|window_823--GCA_000590515.1.gbff,Z951_34635|[14222:14498](-)|window_823--GCA_000590515.1.gbff,Z951_34640|[15729:16134](+)|window_823--GCA_000590515.1.gbff,Z951_34645|[16098:16527](-)|window_823--GCA_000590515.1.gbff,Z951_34650|[16523:16934](-)|window_823--GCA_000590515.1.gbff,Z951_34655|[17086:19720](-)|window_823--GCA_000590515.1.gbff,Z951_34660|[20123:20399](-)|window_823--GCA_000590515.1.gbff,Z951_34675|[22373:22673](+)|window_823--GCA_000590515.1.gbff,Z951_34680|[22790:23927](+)|window_823--GCA_000590515.1.gbff,Z951_34685|[23956:24586](-)|window_823--GCA_000590515.1.gbff,Z951_34690|[24656:25526](+)|window_823--GCA_000590515.1.gbff,Z951_34700|[26919:28827](+)|window_823--GCA_000590515.1.gbff,Z951_34705|[29266:31399](+)|window_823--GCA_000590515.1.gbff,Z951_34710|[31592:33188](+)|window_823--GCA_000590515.1.gbff
window_823--GCA_000590515.1.gbff,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_538--NPDC021725.gbff,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
window_584--NPDC021736.gbff,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
window_159--GCA_005938145.1.gbff,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
window_680--GCA_014650495.1.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_359--NPDC005853.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_236--NPDC045608.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_377--NPDC002055.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_64--NPDC045938.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_136--NPDC007153.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_734--NPDC020840.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887.gbff,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
